Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Tyrese Haliburton,24.7,IND,Combo,2450,68,85.1%,47,7.8%,66,1.5%,76,28.0%
Tim Hardaway Jr.,32.6,DET,Forward,2152,83,86.0%,38,7.9%,68,1.0%,77,28.1%
James Harden,35.2,LAC,Point,2787,73,87.5%,96,16.0%,67,1.9%,27,18.2%
Jaden Hardy,21.3,DAL,Combo,831,6,68.4%,53,8.5%,32,0.9%,14,11.8%
Elijah Harkless,24.7,UTA,Wing,135,0,50.0%,59,7.9%,95,1.8%,0,0.0%
Gary Harris,30.1,ORL,Wing,709,0,58.3%,2,1.5%,5,0.3%,0,0.0%
Tobias Harris,32.3,DET,Forward,2305,86,86.1%,57,9.7%,31,0.6%,63,23.8%
Josh Hart,29.7,NYK,Wing,2891,37,77.5%,85,12.2%,65,1.0%,77,27.5%
Isaiah Hartenstein,26.5,OKC,Big,1589,24,67.5%,41,10.7%,28,1.0%,55,23.2%
Sam Hauser,26.9,BOS,Forward,1503,0,100.0%,1,0.9%,33,0.6%,98,50.0%
Jordan Hawkins,22.5,NOP,Wing,1277,63,82.0%,27,5.4%,70,1.1%,18,13.3%
Jaxson Hayes,24.4,LAL,Big,1074,11,61.5%,90,18.4%,88,2.3%,65,25.5%
Killian Hayes,23.3,BKN,Point,152,0,87.5%,31,7.1%,31,1.1%,0,0.0%
Scoot Henderson,20.7,POR,Point,1732,15,76.2%,71,11.2%,71,2.0%,12,15.9%
Tyler Herro,24.8,MIA,Combo,2718,77,87.7%,63,9.6%,54,1.4%,60,24.8%
Buddy Hield,31.9,GSW,Wing,1834,71,83.9%,10,2.8%,19,0.5%,91,36.4%
Haywood Highsmith,27.9,MIA,Forward,1803,27,72.1%,14,4.5%,24,0.5%,75,27.8%
Aaron Holiday,28.1,HOU,Combo,688,84,88.9%,17,3.4%,33,0.9%,87,37.5%
Jrue Holiday,34.4,BOS,Combo,1891,95,90.9%,28,5.1%,28,0.8%,52,23.3%
Ron Holland II,19.3,DET,Forward,1170,35,75.0%,89,14.6%,74,1.2%,66,24.2%
Richaun Holmes,31.0,WAS,Big,507,92,84.5%,97,21.2%,56,1.4%,61,25.0%
Chet Holmgren,22.5,OKC,Big,873,58,75.8%,85,16.7%,49,1.3%,30,18.5%
Jalen Hood-Schifino,21.4,PHI,Forward,295,0,80.0%,28,6.9%,41,0.7%,19,14.3%
Al Horford,38.4,BOS,Big,1658,99,89.5%,5,3.4%,8,0.5%,14,12.5%
Talen Horton-Tucker,23.9,CHI,Wing,639,25,74.4%,95,13.9%,69,1.0%,17,12.8%
Caleb Houstan,21.8,ORL,Wing,654,0,83.3%,1,1.3%,16,0.5%,97,50.0%
Jett Howard,21.1,ORL,Wing,594,0,66.7%,21,4.7%,4,0.3%,41,20.0%
Kevin Huerter,26.2,SAC,Wing,886,0,72.0%,14,3.8%,2,0.2%,12,8.3%
Kevin Huerter,26.2,CHI,Wing,775,0,71.4%,11,3.0%,10,0.4%,50,22.2%
Jay Huff,27.2,MEM,Big,681,72,79.6%,16,6.8%,35,1.1%,19,15.0%
Ariel Hukporti,22.6,NYK,Big,146,0,28.6%,53,12.0%,2,0.3%,86,33.3%
DeAndre Hunter,26.9,ATL,Forward,1062,82,85.8%,76,11.8%,100,3.1%,63,23.8%
DeAndre Hunter,26.9,CLE,Forward,676,73,82.1%,59,9.8%,84,1.5%,8,6.9%
Nah'Shon Hyland,24.1,LAC,Point,104,0,77.8%,42,7.7%,60,1.6%,62,25.0%
Oso Ighodaro,22.3,PHX,Big,972,5,55.8%,28,9.1%,38,1.1%,57,23.5%
Joe Ingles,37.1,MIN,Forward,114,0,0.0%,0,0.0%,92,1.9%,100,0.0%
Brandon Ingram,27.2,NOP,Wing,595,78,85.5%,53,7.3%,100,2.8%,24,15.4%
Kyrie Irving,32.6,DAL,Combo,1802,97,91.6%,56,9.1%,72,1.6%,71,27.2%
Jonathan Isaac,27.1,ORL,Forward,1082,16,68.9%,72,11.3%,83,1.5%,31,17.5%
Jaden Ivey,22.7,DET,Combo,897,16,73.0%,84,12.4%,69,1.5%,51,23.2%
Jaren Jackson,25.1,MEM,Big,2197,68,78.1%,69,14.1%,90,2.4%,65,25.9%
Quenton Jackson,26.1,IND,Wing,336,40,77.8%,87,12.3%,37,0.8%,78,28.6%
Reggie Jackson,34.5,PHI,Combo,362,0,77.8%,6,2.4%,9,0.5%,85,33.3%
GG Jackson II,19.9,MEM,Forward,433,22,70.0%,35,7.5%,69,1.1%,79,28.6%
Andre Jackson Jr.,23.0,MIL,Wing,939,0,55.0%,32,5.8%,8,0.3%,38,18.2%
Trayce Jackson-Davis,24.7,GSW,Big,903,9,59.6%,82,16.2%,22,0.8%,68,26.9%
LeBron James,39.8,LAL,Big,2443,69,78.2%,43,11.0%,74,1.8%,46,21.7%
