Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Matthew Dellavedova,26.1,MIL,Point,156,11,-6.1%,20,-4.8%,43,-1.9%,80,+8.5%,68,+2.7%,16,-19.0%,15,-6.5%,8,-10.5%
Boris Diaw,34.5,UTA,Big,184,81,+4.7%,91,+11.0%,24,-7.7%,78,+7.5%,35,-2.5%,94,+23.8%,30,-4.0%,64,+2.1%
Kevin Durant,28.1,GSW,Forward,529,94,+8.5%,84,+7.4%,46,-1.5%,91,+14.1%,85,+6.8%,73,+10.5%,83,+7.2%,87,+8.0%
James Ennis,26.3,MEM,Forward,158,5,-8.2%,20,-5.0%,2,-24.2%,83,+9.0%,5,-11.3%,42,-3.7%,19,-6.0%,27,-5.4%
Derrick Favors,25.3,UTA,Big,194,74,+3.9%,80,+6.0%,63,+3.5%,61,+3.8%,76,+4.4%,60,+6.7%,70,+3.5%,75,+4.5%
Raymond Felton,32.4,LAC,Combo,102,60,+1.4%,49,+0.1%,59,+1.8%,23,-6.4%,32,-2.8%,99,+40.1%,5,-11.1%,66,+2.1%
Channing Frye,33.5,CLE,Big,111,85,+6.2%,17,-5.3%,90,+14.3%,97,+19.6%,98,+17.1%,83,+15.8%,52,-0.5%,72,+3.8%
Marc Gasol,31.8,MEM,Big,238,85,+6.0%,77,+5.6%,15,-9.7%,93,+14.8%,55,+0.5%,96,+25.2%,57,+0.4%,83,+7.2%
Pau Gasol,36.3,SAS,Big,364,65,+2.1%,56,+1.6%,34,-4.4%,94,+16.1%,82,+6.2%,67,+8.3%,12,-7.8%,33,-2.7%
Paul George,26.5,IND,Forward,171,21,-4.7%,2,-19.7%,2,-23.6%,98,+26.9%,26,-3.9%,1,-59.3%,100,+39.5%,51,-0.2%
Taj Gibson,31.4,OKC,Big,118,98,+12.5%,93,+11.3%,87,+13.2%,100,+36.1%,100,+24.8%,5,-36.7%,94,+10.9%,61,+1.1%
Manu Ginobili,39.3,SAS,Wing,282,28,-3.4%,64,+3.3%,30,-6.1%,32,-4.9%,24,-4.8%,20,-16.4%,15,-6.9%,10,-9.8%
Rudy Gobert,24.4,UTA,Big,231,10,-6.4%,7,-11.1%,47,-1.1%,24,-6.2%,29,-3.1%,30,-11.0%,13,-7.5%,14,-8.2%
Eric Gordon,27.9,HOU,Wing,355,100,+15.3%,95,+13.4%,95,+16.3%,85,+9.3%,96,+14.4%,90,+19.6%,90,+10.1%,95,+11.6%
Marcin Gortat,32.7,WAS,Big,369,70,+3.1%,37,-1.8%,73,+5.6%,37,-4.0%,54,+0.4%,61,+6.7%,81,+6.8%,81,+6.9%
Jerami Grant,22.6,OKC,Forward,106,2,-9.4%,46,-0.3%,33,-5.9%,2,-20.3%,2,-12.9%,31,-10.3%,3,-13.4%,4,-12.9%
Danny Green,29.4,SAS,Wing,434,14,-5.5%,26,-4.2%,35,-4.3%,20,-7.0%,19,-6.2%,38,-8.1%,54,-0.0%,38,-2.2%
Draymond Green,26.7,GSW,Big,590,50,-0.3%,45,-0.7%,60,+2.3%,26,-5.8%,34,-2.6%,63,+7.4%,41,-2.6%,50,-0.4%
Gerald Green,30.8,BOS,Wing,147,62,+1.6%,63,+3.3%,7,-16.8%,34,-4.5%,9,-10.4%,77,+13.9%,67,+2.7%,78,+5.3%
JaMychal Green,26.4,MEM,Big,117,99,+13.1%,93,+12.0%,92,+14.5%,49,+1.8%,87,+8.7%,29,-12.1%,99,+22.9%,98,+13.7%
Tim Hardaway Jr.,24.6,ATL,Wing,198,46,-0.5%,86,+8.0%,6,-16.9%,68,+5.1%,18,-6.8%,54,+3.3%,37,-3.2%,41,-2.0%
James Harden,27.2,HOU,Combo,405,9,-6.5%,28,-3.5%,4,-18.3%,15,-8.7%,0,-14.5%,6,-30.8%,41,-2.3%,24,-5.8%
Andrew Harrison,22.0,MEM,Combo,106,57,+1.1%,11,-7.0%,67,+4.5%,99,+28.4%,95,+13.8%,33,-9.7%,37,-3.2%,29,-4.8%
Gordon Hayward,26.6,UTA,Wing,367,8,-7.0%,18,-5.1%,32,-6.0%,89,+13.7%,39,-1.7%,7,-27.6%,7,-9.7%,3,-13.9%
Nene Hilario,34.1,HOU,Big,160,64,+2.0%,83,+7.3%,89,+14.2%,7,-15.2%,67,+2.7%,57,+4.7%,31,-4.0%,37,-2.2%
George Hill,30.5,UTA,Point,246,89,+6.9%,90,+10.4%,70,+5.2%,42,-1.9%,71,+3.3%,89,+18.4%,71,+3.6%,85,+7.6%
Rodney Hood,24.0,UTA,Wing,254,19,-4.9%,61,+2.5%,65,+3.9%,10,-11.5%,41,-1.6%,9,-24.0%,47,-1.4%,15,-7.6%
Al Horford,30.4,BOS,Big,573,30,-3.2%,37,-1.8%,31,-6.1%,66,+4.7%,51,+0.1%,56,+4.1%,33,-3.9%,35,-2.3%
Dwight Howard,30.9,ATL,Big,155,78,+4.0%,85,+7.4%,1,-24.4%,82,+8.9%,6,-10.9%,20,-16.9%,98,+17.8%,94,+11.5%
Serge Ibaka,27.1,TOR,Big,305,46,-0.5%,72,+4.4%,46,-1.3%,90,+13.9%,78,+4.8%,49,-0.8%,11,-7.9%,24,-5.7%
Andre Iguodala,32.8,GSW,Wing,417,7,-7.2%,31,-2.8%,36,-4.2%,40,-2.8%,27,-3.4%,12,-21.4%,14,-7.3%,9,-10.5%
Joe Ingles,29.1,UTA,Wing,296,91,+7.0%,22,-4.5%,45,-1.7%,75,+6.6%,63,+1.9%,98,+29.0%,85,+7.6%,97,+13.3%
Kyrie Irving,24.6,CLE,Point,652,36,-2.3%,50,+0.5%,38,-3.2%,11,-10.3%,15,-7.9%,54,+3.4%,54,-0.2%,59,+0.9%
LeBron James,31.8,CLE,Forward,742,75,+3.9%,89,+10.4%,11,-12.2%,84,+9.1%,50,-0.0%,41,-5.4%,58,+0.5%,54,+0.4%
Richard Jefferson,36.4,CLE,Forward,144,20,-4.9%,63,+3.1%,22,-8.2%,39,-3.4%,21,-5.7%,14,-20.7%,40,-3.0%,12,-8.3%
Brandon Jennings,27.1,WAS,Combo,156,40,-2.0%,51,+0.6%,28,-6.9%,54,+2.8%,40,-1.6%,66,+8.1%,22,-5.5%,33,-2.7%
Amir Johnson,29.5,BOS,Big,127,24,-4.1%,7,-11.7%,27,-7.1%,37,-3.6%,20,-5.9%,33,-9.7%,93,+10.4%,76,+4.6%
