Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Jason Richardson,29.8,ORL,Wing,153,87,-5.2%,73,-5.7%,39,+3.0%,88,-7.9%,74,-3.7%,91,-21.4%,74,-6.1%,88,-9.4%
Rajon Rondo,24.7,BOS,Point,344,100,-12.8%,93,-13.1%,99,-21.7%,32,+4.0%,91,-6.1%,93,-25.6%,88,-10.0%,97,-15.2%
Derrick Rose,22.1,CHI,Point,648,70,-3.0%,36,+3.7%,93,-13.8%,47,+1.1%,77,-3.9%,36,+6.3%,80,-7.9%,83,-7.0%
Brandon Roy,26.3,POR,Wing,137,42,+0.7%,79,-6.8%,12,+11.6%,35,+3.2%,7,+7.7%,21,+14.5%,97,-16.0%,78,-5.9%
Thabo Sefolosha,26.5,OKC,Wing,344,64,-2.2%,69,-5.2%,69,-5.5%,30,+4.5%,49,-0.1%,51,+1.4%,59,-2.2%,57,-1.1%
Josh Smith,24.9,ATL,Forward,436,93,-6.7%,82,-7.4%,30,+4.9%,33,+3.7%,15,+4.6%,92,-25.0%,81,-8.0%,92,-11.2%
DeShawn Stevenson,29.6,DAL,Wing,326,27,+3.1%,57,-2.1%,35,+4.2%,40,+2.4%,26,+3.2%,41,+4.5%,8,+12.0%,11,+10.2%
Peja Stojakovic,33.4,DAL,Wing,348,29,+3.0%,33,+4.2%,40,+2.9%,22,+5.6%,18,+4.3%,70,-7.2%,40,+1.7%,54,-0.4%
Amar'e Stoudemire,28.0,NYK,Big,133,21,+3.9%,3,+15.8%,75,-6.3%,14,+7.3%,31,+2.1%,3,+41.7%,99,-25.9%,86,-7.5%
Jeff Teague,22.4,ATL,Point,228,37,+1.1%,89,-10.3%,18,+9.5%,31,+4.4%,11,+6.5%,60,-1.4%,19,+7.8%,30,+4.8%
Jason Terry,33.1,DAL,Wing,682,26,+3.2%,12,+9.6%,22,+6.5%,70,-2.9%,39,+1.6%,62,-2.6%,78,-7.6%,79,-6.3%
Hedo Turkoglu,31.6,ORL,Wing,209,99,-9.1%,86,-8.8%,77,-7.3%,82,-5.9%,85,-5.5%,26,+11.4%,98,-22.4%,93,-13.8%
Greivis Vasquez,23.8,MEM,Wing,129,65,-2.4%,47,+0.4%,98,-19.8%,12,+7.7%,94,-6.9%,89,-19.7%,39,+2.6%,65,-3.1%
Dwyane Wade,28.8,MIA,Wing,825,54,-0.7%,58,-2.2%,42,+2.2%,10,+8.8%,13,+5.8%,72,-7.6%,66,-3.9%,75,-4.9%
Gerald Wallace,28.3,POR,Forward,225,74,-3.3%,95,-14.2%,78,-8.1%,18,+6.7%,59,-1.5%,17,+16.7%,58,-2.1%,36,+3.2%
CJ Watson,26.5,CHI,Point,122,16,+4.1%,45,+1.3%,28,+5.1%,51,-0.1%,37,+1.8%,20,+14.6%,21,+7.2%,14,+9.2%
Delonte West,27.3,BOS,Combo,166,9,+7.1%,24,+6.1%,8,+13.0%,15,+7.1%,4,+9.5%,9,+26.3%,84,-9.2%,39,+2.9%
Russell Westbrook,22.0,OKC,Point,637,79,-3.6%,77,-6.6%,60,-3.2%,3,+12.4%,22,+3.8%,75,-9.5%,93,-11.0%,91,-10.2%
Lou Williams,24.0,PHI,Point,126,18,+4.1%,60,-2.4%,60,-3.0%,36,+3.1%,40,+1.3%,12,+21.4%,26,+5.8%,10,+10.8%
Marvin Williams,24.4,ATL,Forward,200,7,+8.0%,39,+3.2%,26,+5.3%,74,-3.9%,56,-1.1%,24,+12.5%,2,+21.4%,2,+19.4%
Metta World Peace,31.0,LAL,Wing,284,71,-3.2%,26,+5.4%,70,-5.6%,74,-4.2%,79,-4.1%,47,+2.5%,90,-10.2%,79,-6.4%
Sam Young,25.4,MEM,Wing,245,60,-1.8%,40,+2.6%,51,-0.9%,55,-0.5%,52,-0.3%,58,-1.3%,93,-13.2%,88,-9.1%
Thaddeus Young,22.4,PHI,Big,123,35,+2.1%,8,+11.5%,7,+13.1%,100,-18.4%,96,-7.3%,16,+16.7%,38,+2.9%,31,+4.6%
