Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Chris Wilcox,29.2,BOS,Big,478,93,59.8%,76,66%,98,53%,37,33%,98,49%,0,0%,0,0%,0,0%
Damien Wilkins,31.8,DET,Wing,792,10,41.3%,65,63%,57,36%,13,28%,22,31%,0,27%,0,40%,37,33%
Deron Williams,27.3,BKN,Point,1992,55,46.9%,58,55%,58,38%,53,40%,55,39%,14,30%,51,35%,46,34%
Derrick Williams,20.4,MIN,Forward,1377,29,45.6%,52,61%,15,22%,29,33%,17,28%,35,30%,20,28%,31,28%
Jordan Williams,21.1,BKN,Big,574,68,51.8%,35,58%,34,33%,37,33%,32,33%,0,0%,0,0%,0,0%
Lou Williams,25.0,PHI,Point,1626,48,45.8%,25,48%,56,37%,75,43%,64,41%,32,35%,57,36%,56,36%
Marvin Williams,25.4,ATL,Forward,1454,63,48.6%,21,54%,77,40%,38,34%,52,35%,76,40%,57,36%,77,38%
Mo Williams,28.9,LAC,Combo,1444,78,50.3%,36,53%,87,45%,71,42%,87,43%,59,41%,75,39%,82,39%
Reggie Williams,25.1,CHA,Wing,673,56,48.4%,59,62%,95,50%,36,34%,78,41%,8,26%,44,33%,30,32%
Shawne Williams,25.7,BKN,Forward,479,2,34.7%,17,52%,4,10%,10,20%,4,17%,12,27%,9,21%,8,24%
Shelden Williams,28.0,BKN,Big,1262,39,48.2%,28,56%,16,26%,12,16%,7,22%,0,0%,0,0%,0,0%
Terrence Williams,24.3,HOU,Forward,142,40,46.2%,44,60%,10,20%,60,38%,13,26%,0,75%,0,43%,0,55%
Terrence Williams,24.3,SAC,Wing,355,65,50.0%,58,61%,98,51%,61,40%,97,46%,0,31%,0,36%,37,33%
Metta World Peace,32.0,LAL,Wing,1715,26,45.4%,44,58%,34,30%,20,30%,18,30%,12,28%,29,30%,19,30%
Brandan Wright,24.1,DAL,Big,737,97,62.5%,98,76%,46,36%,93,50%,48,37%,0,0%,0,0%,0,0%
Chris Wright,23.1,GSW,Forward,142,75,51.4%,25,55%,100,75%,0,0%,69,38%,0,0%,0,0%,0,0%
Dorell Wright,25.9,GSW,Wing,1646,86,52.8%,87,67%,45,32%,14,28%,16,30%,67,41%,52,34%,59,37%
Jianlian Yi,24.0,DAL,Big,142,11,41.8%,0,25%,8,20%,86,46%,78,43%,0,0%,0,40%,0,40%
Nick Young,26.4,LAC,Wing,502,46,47.3%,12,52%,8,17%,90,45%,53,38%,65,40%,30,30%,57,36%
Nick Young,26.4,WAS,Wing,1197,40,46.8%,18,53%,32,29%,75,42%,64,39%,98,53%,34,31%,69,38%
Sam Young,26.4,MEM,Wing,192,9,41.0%,73,64%,29,29%,41,35%,29,33%,0,0%,0,0%,0,0%
Sam Young,26.4,PHI,Wing,120,3,38.8%,1,38%,0,0%,4,22%,0,12%,0,50%,0,80%,0,71%
Thaddeus Young,23.4,PHI,Big,1720,59,50.4%,57,63%,71,41%,61,40%,66,40%,0,100%,0,0%,0,50%
