Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Simone Fontecchio,27.9,UTA,Wing,1124,50,0.7%,31,1.1%,78,2.6%,79,4.3%,48,10.0%,80,2.6%,70,14.8%
Simone Fontecchio,27.9,DET,Forward,480,28,0.5%,47,1.2%,78,2.3%,16,2.3%,45,11.6%,0,0.0%,31,10.7%
Trent Forrest,25.4,ATL,Combo,352,44,0.4%,20,1.0%,62,2.8%,80,3.2%,63,10.4%,0,0.0%,51,5.0%
Evan Fournier,31.0,DET,Wing,535,49,0.7%,93,2.1%,26,3.7%,1,0.7%,25,8.7%,0,0.0%,26,5.4%
De'Aaron Fox,25.9,SAC,Point,2655,63,0.6%,91,2.4%,33,2.9%,65,2.4%,56,10.3%,79,1.9%,77,9.8%
Javon Freeman-Liberty,24.0,TOR,Point,365,56,0.5%,19,1.1%,44,2.7%,91,4.1%,88,13.9%,0,0.0%,95,23.1%
Markelle Fultz,25.4,ORL,Combo,891,77,0.8%,81,2.0%,53,3.0%,99,6.7%,51,9.9%,81,1.9%,52,5.1%
Daniel Gafford,25.1,DAL,Big,622,98,4.4%,70,1.5%,18,4.9%,80,11.0%,61,18.6%,0,0.0%,94,51.6%
Daniel Gafford,25.1,WAS,Big,1191,94,3.8%,77,1.6%,21,4.7%,77,10.9%,50,17.1%,0,0.0%,50,28.0%
Danilo Gallinari,35.2,MIL,Forward,135,16,0.4%,84,1.8%,6,5.3%,65,4.3%,19,9.0%,100,50.0%,0,0.0%
Danilo Gallinari,35.2,WAS,Big,385,2,0.4%,11,0.7%,81,2.9%,5,3.3%,45,16.7%,0,0.0%,15,15.0%
Darius Garland,23.8,CLE,Point,1899,12,0.2%,74,1.7%,88,2.0%,42,1.7%,7,6.7%,0,0.0%,28,1.1%
Keyonte George,20.0,UTA,Point,1964,5,0.2%,0,0.7%,93,1.8%,2,0.8%,47,10.1%,0,0.0%,0,0.0%
Paul George,33.5,LAC,Forward,2499,45,0.8%,94,2.0%,40,3.2%,9,1.7%,70,13.4%,0,0.0%,61,18.5%
Taj Gibson,38.4,NYK,Big,157,66,2.0%,1,0.3%,1,6.9%,22,5.1%,5,10.6%,0,0.0%,6,7.7%
Josh Giddey,21.1,OKC,Forward,1995,69,1.1%,36,1.1%,85,2.1%,82,5.7%,97,19.0%,0,0.0%,33,11.0%
Shai Gilgeous-Alexander,25.3,OKC,Point,2550,100,1.3%,95,2.5%,35,2.8%,70,2.6%,79,12.8%,81,2.2%,81,10.8%
Anthony Gill,31.0,WAS,Forward,358,62,0.9%,15,0.8%,10,4.8%,96,7.9%,26,10.0%,0,0.0%,14,5.9%
Collin Gillespie,24.4,DEN,Point,179,0,0.0%,98,2.7%,2,4.4%,0,0.0%,26,8.6%,0,0.0%,0,0.0%
Jacob Gilyard,25.3,MEM,Point,612,37,0.3%,79,1.8%,53,2.5%,19,1.2%,0,5.7%,0,0.0%,51,3.6%
Rudy Gobert,31.3,MIN,Big,2592,90,3.2%,26,0.9%,61,3.5%,90,12.3%,93,24.1%,50,1.3%,95,51.9%
Jordan Goodwin,25.0,PHX,Point,505,81,0.8%,65,1.6%,26,3.3%,98,7.3%,91,14.7%,95,4.2%,72,8.6%
Jordan Goodwin,25.0,MEM,Combo,482,83,1.0%,78,1.9%,66,2.7%,100,8.4%,100,18.2%,0,0.0%,83,13.8%
Aaron Gordon,28.1,DEN,Big,2296,19,1.0%,40,1.0%,94,2.3%,49,8.2%,12,12.4%,45,0.9%,24,18.8%
Eric Gordon,34.9,PHX,Wing,1879,58,0.8%,71,1.5%,97,1.7%,5,1.0%,2,5.4%,0,0.0%,16,3.3%
Devonte' Graham,28.7,SAS,Combo,242,17,0.2%,13,0.9%,83,2.2%,17,1.3%,36,8.8%,0,0.0%,0,0.0%
Jerami Grant,29.6,POR,Forward,1829,63,0.9%,32,1.1%,75,2.5%,14,2.0%,17,8.8%,0,0.0%,25,7.8%
AJ Green,24.1,MIL,Combo,517,29,0.3%,2,0.6%,24,3.7%,24,1.5%,15,7.1%,93,3.8%,85,14.3%
Draymond Green,33.7,GSW,Big,1489,44,1.5%,77,1.6%,36,4.2%,23,5.1%,63,18.9%,54,1.6%,91,47.8%
Jalen Green,21.7,HOU,Combo,2601,53,0.5%,26,1.1%,98,1.6%,27,1.5%,97,14.1%,73,0.8%,91,15.9%
Javonte Green,30.3,CHI,Big,226,62,1.9%,85,1.7%,60,3.5%,64,9.7%,75,20.6%,0,0.0%,88,45.5%
Jeff Green,37.2,HOU,Big,1289,28,1.2%,3,0.5%,86,2.6%,7,3.5%,3,9.9%,0,0.0%,9,8.9%
Josh Green,23.0,DAL,Forward,1463,11,0.3%,61,1.3%,59,2.8%,36,2.9%,22,9.7%,0,0.0%,17,6.3%
