Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Luc Mbah a Moute,30.1,LAC,Forward,208,46,-0.3,43,+0.4,33,+1.4%,31,+11.0,59,-0.5,56,-1.7%,54,-8.3,37,+0.8,22,+5.0%,24,+26.8
Patrick McCaw,21.0,GSW,Wing,138,76,-8.2,46,+0.1,7,+4.0%,63,-8.2,9,+2.3,21,+9.2%,17,+37.0,88,-2.7,9,+8.4%,87,-36.6
CJ McCollum,25.1,POR,Combo,138,85,-12.0,51,-0.1,67,-1.1%,67,-10.3,14,+2.0,75,-9.0%,20,+33.3,59,-0.3,33,+2.7%,67,-13.4
JaVale McGee,28.8,GSW,Big,144,39,+2.2,22,+2.4,10,+3.8%,33,+10.5,46,+0.1,19,+11.0%,66,-20.4,23,+2.2,5,+10.0%,28,+24.1
Khris Middleton,25.2,MIL,Wing,230,64,-4.0,12,+4.2,2,+5.1%,13,+28.6,51,-0.1,9,+16.8%,69,-22.8,7,+4.3,8,+8.7%,5,+58.9
Patty Mills,28.2,SAS,Point,414,27,+5.6,17,+2.8,19,+2.5%,15,+27.4,49,+0.0,33,+4.3%,35,+13.5,16,+2.9,16,+7.0%,15,+37.3
Paul Millsap,31.7,ATL,Big,218,76,-8.1,82,-3.1,0,+8.2%,89,-27.0,96,-3.8,62,-3.7%,82,-46.5,41,+0.6,0,+23.6%,76,-23.4
Nikola Mirotic,25.7,CHI,Big,161,11,+11.8,75,-2.3,17,+2.6%,83,-23.3,81,-1.7,57,-1.9%,84,-46.7,68,-1.0,2,+10.8%,92,-46.3
Greg Monroe,26.4,MIL,Big,140,58,-2.9,34,+1.2,83,-2.8%,44,+4.7,45,+0.3,87,-16.2%,48,-1.8,36,+0.9,47,+0.6%,46,+3.3
Markieff Morris,27.2,WAS,Big,361,95,-20.7,68,-1.7,63,-0.8%,66,-10.2,61,-0.6,71,-7.6%,53,-6.7,61,-0.4,31,+3.1%,55,-4.8
Dejounte Murray,20.1,SAS,Combo,132,48,-0.4,95,-5.6,23,+2.1%,97,-47.9,84,-1.8,54,-1.6%,88,-58.0,98,-4.3,39,+1.6%,89,-44.9
Victor Oladipo,24.5,OKC,Wing,179,90,-14.7,30,+1.4,35,+1.3%,15,+26.9,19,+1.4,98,-34.4%,9,+50.0,46,+0.3,15,+7.1%,22,+27.7
Kelly Olynyk,25.5,BOS,Big,310,61,-3.3,54,-0.1,72,-1.9%,46,+4.1,76,-1.5,79,-9.8%,65,-19.1,29,+1.1,46,+0.7%,31,+16.3
Kelly Oubre,20.9,WAS,Wing,145,2,+23.4,52,-0.1,11,+3.7%,62,-7.3,41,+0.3,67,-5.6%,29,+19.1,50,+0.2,11,+7.5%,62,-9.5
Zaza Pachulia,32.7,GSW,Big,198,63,-3.6,33,+1.2,75,-2.2%,29,+12.6,82,-1.8,89,-19.8%,79,-41.1,20,+2.6,37,+1.9%,17,+36.5
Tony Parker,34.5,SAS,Point,211,75,-7.8,45,+0.3,88,-3.5%,40,+6.0,20,+1.4,64,-4.4%,12,+45.3,63,-0.7,75,-3.7%,66,-11.9
Patrick Patterson,27.6,TOR,Big,181,28,+4.8,88,-3.7,77,-2.3%,80,-21.9,76,-1.5,90,-20.9%,44,+4.0,87,-2.7,91,-7.1%,83,-31.3
Chris Paul,31.5,LAC,Point,220,70,-5.7,60,-0.9,67,-1.2%,35,+10.0,67,-1.1,2,+24.5%,83,-46.7,48,+0.2,85,-6.1%,26,+25.8
Otto Porter,23.4,WAS,Forward,386,87,-13.5,73,-2.2,92,-3.8%,59,-5.1,59,-0.5,39,+2.7%,57,-12.3,65,-0.8,85,-6.1%,48,+1.7
Bobby Portis,21.7,CHI,Big,106,68,-5.3,7,+4.9,61,-0.5%,6,+38.4,7,+2.7,52,-0.6%,7,+61.6,19,+2.7,80,-5.7%,9,+53.6
