Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Jordan Clarkson,25.4,CLE,Combo,243,23,-2.7%,28,-2.9%,50,+0.2%,87,+4.6%,80,+4.8%,34,-0.7%,40,-1.1%,38,-1.9%
Darren Collison,30.2,IND,Point,213,10,-5.4%,96,+7.8%,24,-2.7%,60,+0.4%,41,-2.4%,1,-4.6%,41,-0.9%,9,-5.4%
Robert Covington,26.9,PHI,Forward,280,4,-7.2%,73,+3.5%,15,-3.8%,40,-1.4%,25,-5.2%,42,-0.5%,71,+2.2%,62,+1.8%
Jamal Crawford,37.6,MIN,Wing,116,66,+2.7%,52,+1.2%,25,-2.7%,98,+10.3%,90,+7.5%,20,-1.7%,6,-7.0%,2,-8.7%
Jae Crowder,27.3,UTA,Forward,320,16,-4.1%,27,-2.9%,48,-0.1%,52,-0.6%,49,-0.7%,15,-1.9%,92,+5.5%,71,+3.6%
Stephen Curry,29.6,GSW,Point,552,74,+3.7%,77,+3.9%,47,-0.1%,5,-8.4%,9,-8.5%,90,+2.8%,68,+1.7%,79,+4.6%
Anthony Davis,24.6,NOP,Big,357,27,-1.9%,90,+6.6%,48,-0.1%,66,+1.3%,60,+1.3%,46,-0.3%,4,-7.6%,6,-7.8%
DeMar DeRozan,28.2,TOR,Wing,352,6,-6.4%,5,-7.5%,86,+4.4%,95,+7.0%,98,+11.5%,72,+1.3%,9,-5.3%,19,-4.0%
Goran Dragic,31.5,MIA,Point,155,83,+5.2%,97,+8.1%,7,-5.6%,73,+2.2%,35,-3.4%,13,-2.0%,19,-2.8%,12,-4.8%
Kevin Durant,29.1,GSW,Forward,805,98,+9.1%,82,+5.1%,67,+1.6%,7,-6.9%,22,-5.4%,41,-0.5%,57,+0.8%,51,+0.3%
Wayne Ellington,29.9,MIA,Wing,100,0,-12.5%,19,-4.4%,98,+6.7%,19,-4.3%,68,+2.3%,62,+0.8%,65,+1.3%,64,+2.1%
Joel Embiid,23.6,PHI,Big,278,61,+2.0%,55,+1.4%,98,+7.6%,59,+0.3%,92,+7.9%,77,+1.8%,0,-11.1%,2,-9.3%
Dante Exum,22.3,UTA,Combo,110,60,+1.9%,81,+4.4%,59,+1.0%,27,-3.1%,44,-2.1%,4,-3.5%,63,+1.2%,31,-2.3%
Derrick Favors,26.3,UTA,Big,284,94,+7.7%,27,-3.5%,80,+3.3%,73,+2.3%,84,+5.5%,54,-0.0%,25,-2.0%,35,-2.0%
Rudy Gay,31.2,SAS,Big,158,34,-1.0%,68,+2.3%,4,-6.9%,49,-0.7%,13,-7.6%,98,+4.0%,65,+1.3%,88,+5.3%
