Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Jacque Vaughn,29.7,BKN,Combo,1360,11,13.4%,67,117.1,26,16.7%,67,1.25,60,14.8%
Jake Voskuhl,27.0,PHX,Big,313,3,7.9%,86,147.5,41,5.6%,84,0.71,5,28.6%
Jackson Vroman,23.4,NOP,Big,616,70,15.6%,25,110.1,76,9.1%,65,0.58,14,24.5%
Sasha Vujacic,20.7,LAL,Combo,341,23,15.5%,4,85.0,23,16.5%,39,1.06,84,11.6%
Dwyane Wade,22.8,MIA,Combo,2968,98,27.0%,100,149.6,89,30.4%,51,1.12,18,18.5%
Antoine Walker,28.2,BOS,Big,832,98,22.8%,26,111.1,94,14.2%,74,0.62,63,16.7%
Antoine Walker,28.2,ATL,Wing,2120,95,24.6%,22,110.4,84,17.2%,44,0.70,30,15.7%
Samaki Walker,28.7,WAS,Big,115,21,10.5%,2,87.0,24,4.2%,36,0.40,42,18.9%
Ben Wallace,30.1,DET,Big,2667,30,11.6%,37,117.0,66,7.5%,76,0.65,87,12.0%
Gerald Wallace,22.3,CHA,Wing,2143,41,15.1%,71,128.7,32,10.1%,36,0.67,3,21.3%
Rasheed Wallace,30.1,DET,Big,2690,92,19.0%,24,109.9,79,9.5%,53,0.50,90,11.7%
Luke Walton,24.6,LAL,Forward,710,24,14.5%,33,115.3,98,20.7%,98,1.43,7,22.2%
Charlie Ward,34.1,HOU,Combo,358,12,14.2%,21,98.7,40,18.9%,75,1.33,33,16.8%
Earl Watson,25.4,MEM,Point,1763,83,22.4%,50,116.7,85,35.2%,67,1.57,13,19.9%
Clarence Weatherspoon,34.1,HOU,Big,515,25,11.1%,21,108.0,36,4.8%,41,0.44,88,12.0%
Chris Webber,31.7,PHI,Big,703,99,24.5%,5,91.1,97,15.1%,72,0.62,85,12.5%
Chris Webber,31.7,SAC,Big,1666,100,28.0%,23,108.4,100,26.8%,95,0.96,83,12.9%
Bonzi Wells,28.1,MEM,Wing,1451,80,20.2%,43,119.0,37,10.8%,14,0.53,43,14.1%
Jiri Welsch,24.8,BOS,Wing,1084,33,14.2%,81,132.0,46,11.6%,61,0.81,19,16.7%
Jiri Welsch,24.8,CLE,Combo,156,28,16.4%,0,73.7,16,14.7%,14,0.90,0,23.9%
David Wesley,34.0,NOP,Combo,932,63,19.4%,32,105.6,56,21.7%,47,1.12,67,13.7%
David Wesley,34.0,HOU,Wing,1839,24,13.7%,41,118.9,60,13.3%,80,0.97,77,10.9%
David West,24.2,NOP,Big,543,71,15.9%,33,116.0,73,8.6%,63,0.54,34,20.1%
Delonte West,21.3,BOS,Combo,455,30,16.9%,37,107.7,30,17.4%,33,1.03,72,13.1%
Jahidi White,28.7,CHA,Big,114,36,12.0%,96,163.6,1,1.3%,0,0.11,2,32.8%
Rodney White,24.3,GSW,Forward,130,89,20.4%,9,94.4,33,8.8%,7,0.43,59,14.0%
Rodney White,24.3,DEN,Forward,470,76,19.1%,13,96.9,72,12.4%,52,0.65,85,10.4%
Chris Wilcox,22.2,LAC,Big,981,73,16.1%,72,136.8,54,6.6%,36,0.41,25,21.1%
Damien Wilkins,24.8,OKC,Forward,489,46,15.7%,28,114.4,37,9.0%,37,0.58,93,9.2%
Mike Wilks,25.5,SAS,Point,154,24,16.8%,2,82.6,0,16.9%,2,1.00,96,10.8%
Aaron Williams,33.1,TOR,Big,161,20,10.2%,11,102.9,5,2.2%,7,0.21,60,16.9%
Aaron Williams,33.1,BKN,Big,147,25,11.1%,87,148.0,72,8.6%,89,0.78,1,32.8%
Eric Williams,32.3,TOR,Wing,584,22,13.6%,26,113.8,59,13.2%,81,0.97,40,14.5%
Eric Williams,32.3,BKN,Forward,734,20,13.2%,93,148.6,57,10.9%,83,0.82,46,16.1%
Jason Williams,29.0,MEM,Point,1939,67,21.6%,44,115.6,78,33.9%,69,1.57,61,14.5%
Jerome Williams,31.5,NYK,Forward,1163,4,10.1%,98,161.3,4,5.1%,22,0.50,0,23.7%
Mo Williams,21.9,MIL,Point,2232,72,22.0%,43,113.8,76,33.9%,61,1.54,26,17.6%
Scott Williams,36.6,CLE,Big,144,45,12.8%,3,89.2,56,6.7%,59,0.53,97,10.0%
Corliss Williamson,30.9,SAC,Forward,454,63,17.1%,91,142.4,67,11.8%,70,0.69,52,14.9%
Corliss Williamson,30.9,PHI,Big,1052,84,17.4%,57,128.2,68,7.7%,43,0.44,76,14.5%
Kevin Willis,42.2,ATL,Big,341,45,12.8%,9,101.2,21,3.9%,18,0.30,71,15.6%
Loren Woods,26.4,TOR,Big,698,33,11.9%,28,112.8,20,3.8%,22,0.32,38,19.5%
Metta World Peace,25.0,IND,Forward,289,85,20.0%,96,152.2,91,16.7%,85,0.83,63,13.9%
Lorenzen Wright,29.0,MEM,Big,2274,57,14.3%,36,116.9,52,6.6%,47,0.46,75,14.5%
