Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Gary Neal,31.1,WAS,Wing,784,34,-2.3,55,+0.1,8,-2.8%,71,+4.8,76,+0.5,23,-4.4%,85,+15.3,40,-0.2,13,-4.2%,47,-1.1
Jameer Nelson,33.7,DEN,Point,1022,46,-0.9,4,-2.7,5,-3.4%,7,-14.6,4,-1.4,15,-6.3%,11,-20.0,9,-1.3,5,-6.4%,16,-12.0
Raul Neto,23.5,UTA,Point,1424,51,-0.5,45,-0.3,51,-0.0%,48,-0.4,23,-0.5,58,+0.9%,25,-10.8,61,+0.2,48,-0.6%,69,+5.7
Andrew Nicholson,25.9,ORL,Big,728,39,-1.4,8,-1.8,27,-1.0%,13,-10.2,1,-2.0,17,-5.9%,2,-36.7,62,+0.3,36,-1.4%,65,+5.1
Joakim Noah,30.7,CHI,Big,632,34,-2.3,71,+0.6,50,-0.1%,53,+0.3,69,+0.3,18,-5.6%,65,+5.6,56,+0.1,29,-2.1%,40,-3.1
Nerlens Noel,21.6,PHI,Big,1943,23,-3.7,53,+0.0,78,+1.2%,51,-0.1,63,+0.2,49,-0.4%,54,+2.3,42,-0.2,65,+1.3%,44,-1.7
Lucas Nogueira,23.3,TOR,Big,176,91,+5.9,98,+2.8,99,+5.8%,83,+8.3,99,+2.2,80,+5.5%,99,+45.3,77,+0.7,100,+13.1%,42,-2.5
Dirk Nowitzki,37.4,DAL,Big,2360,94,+7.2,57,+0.2,17,-1.8%,72,+5.5,43,-0.1,27,-3.9%,74,+9.3,45,-0.1,22,-2.9%,42,-2.4
Jusuf Nurkic,21.2,DEN,Big,522,57,+0.2,72,+0.7,61,+0.3%,69,+4.1,75,+0.5,35,-2.7%,82,+14.1,59,+0.2,67,+1.6%,49,+0.2
Johnny O'Bryant III,22.4,MIL,Big,785,44,-1.0,21,-1.0,9,-2.5%,42,-1.8,33,-0.3,36,-2.6%,73,+8.5,28,-0.6,9,-5.1%,27,-7.5
Kyle O'Quinn,25.6,NYK,Big,717,51,-0.6,82,+1.1,72,+0.9%,79,+7.3,55,+0.1,80,+5.4%,55,+2.8,84,+1.0,62,+1.0%,76,+8.3
Jahlil Okafor,19.9,PHI,Big,1566,10,-6.7,4,-2.5,21,-1.3%,4,-21.0,11,-1.0,55,+0.4%,8,-23.5,7,-1.5,23,-2.6%,5,-19.7
Victor Oladipo,23.5,ORL,Combo,2374,77,+2.7,61,+0.3,48,-0.1%,48,-0.4,45,-0.1,70,+3.5%,65,+6.0,62,+0.3,60,+0.8%,43,-2.0
Kelly Olynyk,24.5,BOS,Big,1339,38,-1.6,35,-0.6,15,-1.9%,43,-1.8,75,+0.5,46,-0.7%,73,+8.5,17,-1.0,14,-4.1%,24,-8.7
Kelly Oubre,19.9,WAS,Forward,575,43,-1.2,20,-1.0,59,+0.3%,31,-4.3,3,-1.4,84,+7.2%,5,-26.3,54,+0.1,59,+0.7%,60,+3.2
Zaza Pachulia,31.7,DAL,Big,1999,36,-2.0,36,-0.6,42,-0.4%,36,-3.4,16,-0.8,29,-3.5%,12,-19.7,61,+0.2,51,-0.2%,69,+5.7
Kostas Papanikolaou,25.3,DEN,Forward,268,19,-4.6,86,+1.3,89,+2.0%,90,+11.7,71,+0.4,45,-1.1%,58,+4.0,71,+0.5,69,+1.9%,78,+9.2
Jabari Parker,20.6,MIL,Big,2394,64,+1.2,53,+0.0,85,+1.8%,27,-5.6,34,-0.3,79,+5.2%,13,-19.0,66,+0.4,88,+4.2%,61,+3.7
Tony Parker,33.5,SAS,Point,1973,29,-2.9,34,-0.6,18,-1.6%,25,-6.2,49,+0.0,22,-4.7%,41,-3.1,22,-0.8,12,-4.5%,17,-11.1
Chandler Parsons,27.0,DAL,Forward,1793,63,+1.1,94,+2.0,69,+0.7%,97,+19.7,53,+0.1,76,+4.6%,44,-2.4,95,+1.7,62,+1.0%,98,+28.0
