Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Trevor Ariza,22.3,LAL,Wing,385,29,-1.7%,93,+4.9%,63,+0.8%,36,-1.3%,42,-0.5%,21,-1.3%,13,-3.1%,12,-4.4%
Darrell Armstrong,39.4,NJN,Combo,505,65,+0.8%,15,-3.5%,24,-1.8%,55,+0.5%,35,-1.4%,89,+2.1%,83,+2.8%,88,+4.9%
Hilton Armstrong,22.9,NOH,Big,663,18,-2.8%,43,-0.7%,19,-2.2%,94,+6.4%,83,+4.2%,1,-4.1%,61,+0.6%,17,-3.6%
Carlos Arroyo,28.3,ORL,Point,1216,47,-0.4%,20,-2.7%,64,+0.8%,77,+2.8%,79,+3.6%,23,-1.3%,57,+0.4%,44,-0.9%
Chucky Atkins,33.2,DEN,Combo,293,5,-5.2%,51,-0.1%,14,-2.8%,2,-7.2%,2,-10.1%,68,+0.6%,99,+9.5%,98,+10.1%
James Augustine,23.7,ORL,Big,106,0,-9.9%,43,-0.7%,70,+1.3%,90,+5.5%,94,+6.8%,0,-5.1%,39,-1.0%,6,-6.1%
Kelenna Azubuike,23.9,GSW,Wing,1680,22,-2.4%,29,-2.1%,79,+1.9%,37,-1.1%,56,+0.8%,66,+0.5%,65,+0.8%,65,+1.3%
Renaldo Balkman,23.3,NYK,Forward,895,63,+0.5%,91,+4.2%,13,-3.0%,40,-0.9%,18,-3.9%,25,-1.2%,66,+0.8%,51,-0.3%
Marcus Banks,25.9,PHX,Combo,240,5,-5.4%,13,-3.7%,50,-0.1%,49,-0.0%,46,-0.1%,36,-0.6%,92,+4.4%,83,+3.8%
Marcus Banks,25.9,MIA,Combo,239,97,+4.6%,97,+6.2%,17,-2.4%,44,-0.4%,25,-2.8%,23,-1.3%,22,-2.1%,19,-3.4%
Leandro Barbosa,24.9,PHX,Combo,2347,36,-1.3%,47,-0.4%,50,-0.1%,19,-3.2%,21,-3.3%,56,+0.1%,87,+3.5%,82,+3.7%
J.J. Barea,23.3,DAL,Point,414,24,-2.2%,78,+2.6%,68,+1.2%,16,-3.5%,27,-2.4%,53,+0.0%,48,-0.3%,52,-0.2%
Andrea Bargnani,22.0,TOR,Big,1827,60,+0.4%,33,-1.7%,18,-2.4%,46,-0.3%,26,-2.7%,48,-0.2%,92,+4.6%,86,+4.3%
Matt Barnes,27.6,GSW,Forward,1360,48,-0.4%,26,-2.4%,47,-0.3%,53,+0.4%,47,+0.1%,84,+1.6%,63,+0.7%,73,+2.3%
Earl Barron,26.2,MIA,Big,852,14,-3.5%,23,-2.6%,19,-2.2%,90,+5.4%,75,+3.2%,66,+0.5%,36,-1.1%,47,-0.6%
