Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Joe Johnson,34.3,BKN,Wing,1930,97,+12.8,+22,98,+9.3,96,+4.4%,96,-2.5%,13,-3.1%,84,+3.4,82,-3.5,68,-0.9%,14,-1.6%,99,-6.2%,47,+0.4
Joe Johnson,34.3,MIA,Wing,763,71,+2.8,+6,89,+5.5,88,+2.8%,84,-1.4%,5,-4.8%,76,+2.1,28,+2.6,20,+1.7%,46,-0.1%,39,+0.7%,36,+1.4
Stanley Johnson,19.4,DET,Wing,1623,19,-6.4,-17,19,-4.6,29,-1.5%,21,+1.2%,29,-1.5%,69,+1.4,32,+1.9,48,+0.1%,23,-1.1%,81,-1.9%,13,+4.0
Tyler Johnson,23.5,MIA,Combo,818,49,-0.5,-1,25,-3.4,35,-1.2%,22,+1.2%,42,-0.5%,59,+0.6,78,-2.9,83,-2.0%,71,+0.7%,34,+0.9%,42,+0.9
Wesley Johnson,28.3,LAC,Forward,1569,42,-1.7,-4,24,-3.6,20,-2.2%,27,+0.9%,52,+0.2%,47,-0.3,68,-1.9,65,-0.8%,97,+2.9%,10,+2.8%,27,+2.2
Nikola Jokic,20.7,DEN,Big,1697,94,+10.7,+26,80,+3.4,60,+0.3%,78,-1.1%,85,+3.1%,26,-2.3,96,-7.3,62,-0.6%,84,+1.4%,94,-3.7%,92,-4.2
James Jones,35.1,CLE,Wing,343,10,-9.8,-24,2,-12.2,1,-8.2%,87,-1.5%,10,-3.7%,70,+1.5,72,-2.4,75,-1.4%,56,+0.2%,40,+0.6%,15,+3.5
Terrence Jones,23.8,HOU,Big,997,2,-15.6,-36,18,-4.7,15,-2.6%,39,+0.4%,30,-1.4%,64,+1.0,2,+10.9,2,+5.0%,13,-1.6%,49,+0.1%,54,-0.0
Tyus Jones,19.5,MIN,Point,508,4,-13.6,-26,12,-6.2,25,-1.9%,26,+1.0%,67,+1.1%,1,-9.1,7,+7.5,4,+3.9%,72,+0.8%,45,+0.4%,52,+0.0
DeAndre Jordan,27.3,LAC,Big,2590,99,+14.7,+37,99,+12.3,98,+5.7%,97,-2.7%,73,+1.6%,78,+2.5,73,-2.4,73,-1.2%,4,-2.7%,97,-4.4%,88,-3.1
Cory Joseph,24.2,TOR,Combo,2007,82,+5.0,+12,58,+0.3,38,-1.0%,75,-0.9%,25,-1.9%,93,+5.1,90,-4.8,98,-5.2%,57,+0.2%,10,+2.8%,8,+4.8
Frank Kaminsky,22.6,CHA,Big,1600,23,-5.4,-14,12,-6.0,9,-3.6%,20,+1.2%,70,+1.4%,74,+1.9,56,-0.6,79,-1.6%,19,-1.3%,67,-0.7%,19,+3.1
Enes Kanter,23.4,OKC,Big,1592,17,-7.2,-15,54,-0.1,38,-1.0%,8,+2.0%,95,+4.9%,52,+0.1,8,+7.1,12,+2.9%,25,-0.9%,48,+0.1%,28,+2.0
Sergey Karasev,22.0,BKN,Wing,346,91,+7.7,+18,91,+6.0,99,+6.5%,6,+2.3%,60,+0.6%,44,-0.5,66,-1.7,25,+1.5%,98,+3.1%,45,+0.4%,32,+1.7
Ryan Kelly,24.6,LAL,Forward,344,94,+9.1,+19,63,+1.2,69,+1.0%,59,-0.3%,59,+0.5%,65,+1.1,97,-7.9,89,-2.6%,95,+2.5%,63,-0.6%,68,-1.1
Michael Kidd-Gilchrist,22.1,CHA,Wing,204,97,+12.5,+25,89,+5.5,93,+3.6%,18,+1.3%,90,+3.7%,42,-0.7,95,-7.0,96,-4.0%,0,-4.9%,100,-7.8%,98,-7.1
Sean Kilpatrick,25.8,BKN,Wing,510,13,-9.0,-13,79,+3.1,47,-0.5%,88,-1.5%,73,+1.6%,86,+3.7,1,+12.1,7,+3.4%,73,+0.8%,1,+6.9%,3,+7.4
Brandon Knight,23.9,PHX,Combo,1862,72,+3.0,+7,73,+2.3,82,+2.1%,72,-0.8%,38,-0.8%,14,-3.7,57,-0.7,40,+0.7%,60,+0.3%,68,-0.8%,85,-2.6
Kyle Korver,34.6,ATL,Wing,2390,91,+7.8,+21,85,+4.0,86,+2.5%,61,-0.4%,33,-1.2%,13,-3.9,84,-3.8,77,-1.5%,24,-1.0%,53,-0.1%,78,-1.9
Kosta Koufos,26.7,SAC,Big,1477,18,-6.5,-16,33,-2.4,18,-2.4%,53,-0.1%,79,+2.4%,7,-5.4,18,+4.1,29,+1.2%,25,-1.0%,58,-0.3%,29,+1.9
Zach LaVine,20.6,MIN,Combo,2240,19,-6.3,-16,50,-0.6,80,+1.9%,6,+2.2%,16,-2.8%,81,+2.8,10,+5.8,13,+2.6%,26,-0.9%,40,+0.7%,44,+0.7
Jeremy Lamb,23.4,CHA,Wing,1189,81,+4.9,+13,21,-4.2,19,-2.3%,21,+1.2%,58,+0.5%,62,+0.8,98,-9.0,98,-5.1%,58,+0.2%,34,+0.9%,65,-0.8
Carl Landry,32.1,PHI,Big,530,68,+2.3,+5,93,+6.7,77,+1.7%,92,-2.0%,55,+0.4%,71,+1.7,16,+4.5,17,+2.1%,6,-2.3%,78,-1.6%,18,+3.2
Shane Larkin,23.1,BKN,Point,1678,33,-3.2,-6,38,-1.5,35,-1.2%,13,+1.6%,84,+2.9%,67,+1.3,33,+1.7,25,+1.4%,86,+1.5%,27,+1.3%,35,+1.5
Joffrey Lauvergne,24.1,DEN,Big,1009,9,-10.8,-24,16,-4.9,50,-0.3%,19,+1.3%,16,-3.0%,22,-2.8,9,+5.9,54,-0.1%,5,-2.5%,27,+1.3%,27,+2.1
Ty Lawson,28.0,HOU,Point,1140,12,-9.6,-24,7,-8.2,11,-3.2%,55,-0.2%,16,-2.9%,5,-5.8,37,+1.3,55,-0.2%,7,-2.2%,42,+0.5%,82,-2.3
