bet_num,date,bet_size,bet_result,profit,bankroll
2236,2025-03-16,17.32670186720609,WIN,16.660290256928935,1969.6248830439033
2240,2025-03-16,26.786898409397086,LOSS,-26.786898409397086,1942.8379846345063
2244,2025-03-16,56.37609004108995,LOSS,-56.37609004108995,1886.4618945934162
2246,2025-03-16,10.0,WIN,8.333333333333336,1894.7952279267495
2247,2025-03-16,12.331327343347299,WIN,11.633327682403113,1906.4285556091527
2248,2025-03-16,55.31958339189339,LOSS,-55.31958339189339,1851.1089722172592
2251,2025-03-16,14.235027996350697,LOSS,-14.235027996350697,1836.8739442209085
2252,2025-03-16,14.125560631058761,LOSS,-14.125560631058761,1822.7483835898497
2259,2025-03-16,14.01693506980592,LOSS,-14.01693506980592,1808.7314485200438
2266,2025-03-16,10.0,WIN,8.695652173913043,1817.4271006939568
2277,2025-03-16,10.0,WIN,9.09090909090909,1826.5180097848659
2282,2025-03-16,60.823049725836064,LOSS,-60.823049725836064,1765.6949600590299
2283,2025-03-16,10.0,WIN,9.09090909090909,1774.785869149939
2287,2025-03-16,15.745900231098307,LOSS,-15.745900231098307,1759.0399689188405
2291,2025-03-17,10.0,WIN,9.09090909090909,1768.1308780097495
2295,2025-03-17,10.0,LOSS,-10.0,1758.1308780097495
2296,2025-03-17,10.0,LOSS,-10.0,1748.1308780097495
2297,2025-03-17,10.0,WIN,8.695652173913043,1756.8265301836625
2300,2025-03-17,17.663133934466533,WIN,17.14867372278304,1773.9752039064456
2302,2025-03-17,66.06283659347605,WIN,82.57854574184506,1856.5537496482907
2304,2025-03-17,10.0,WIN,9.09090909090909,1865.6446587391997
2312,2025-03-18,18.757191398963904,WIN,18.210865435887285,1883.8555241750869
2315,2025-03-18,54.66457290584576,LOSS,-54.66457290584576,1829.1909512692412
2317,2025-03-18,20.552789528461187,LOSS,-20.552789528461187,1808.6381617407799
2318,2025-03-18,24.597478999674607,LOSS,-24.597478999674607,1784.0406827411052
2320,2025-03-18,13.719272850279074,WIN,13.065974143122927,1797.1066568842282
2321,2025-03-18,59.84365167424483,LOSS,-59.84365167424483,1737.2630052099832
2322,2025-03-18,42.294457526839444,WIN,46.523903279523395,1783.7869084895067
2325,2025-03-18,13.717321326284281,LOSS,-13.717321326284281,1770.0695871632224
2326,2025-03-18,32.11995504706186,WIN,33.40475324894433,1803.4743404121668
2327,2025-03-18,10.0,LOSS,-10.0,1793.4743404121668
2329,2025-03-18,10.0,LOSS,-10.0,1783.4743404121668
2330,2025-03-18,10.0,WIN,8.333333333333336,1791.8076737455
2335,2025-03-19,59.667195535725185,WIN,71.60063464287022,1863.4083083883704
2337,2025-03-19,45.36552227149146,WIN,49.90207449864061,1913.310382887011
2339,2025-03-19,10.19029109925626,LOSS,-10.19029109925626,1903.1200917877547
2340,2025-03-19,25.882433248313465,WIN,25.882433248313465,1929.0025250360682
2341,2025-03-19,10.0,WIN,9.09090909090909,1938.0934341269772
2342,2025-03-19,10.0,WIN,9.09090909090909,1947.1843432178862
2344,2025-03-19,14.973847599345516,WIN,14.260807237471921,1961.445150455358
2345,2025-03-19,10.0,LOSS,-10.0,1951.445150455358
2348,2025-03-19,10.0,LOSS,-10.0,1941.445150455358
2357,2025-03-19,21.814077710516397,LOSS,-21.814077710516397,1919.6310727448417
2358,2025-03-19,21.568974733361035,LOSS,-21.568974733361035,1898.0620980114807
2366,2025-03-19,14.59609753370826,WIN,13.901045270198344,1911.963143281679
2369,2025-03-19,10.0,WIN,6.666666666666665,1918.6298099483458
