PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,is_star,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Wiggins,2025-01-12,aaron wiggins,36,14.549834,-21.450165,21.450165,14.5,-110.0,-103.0,"BetOnline.ag, Caesars, BetMGM",36,14.549834,14.5,0.0498340000000006,0.0498340000000006,0.5238095238095238,0.5073891625615764,False,NONE,0.0,False,False,False
Aaron Wiggins,2025-01-26,aaron wiggins,5,16.611973,11.611973,11.611973,17.5,105.0,-110.0,"BetOnline.ag, DraftKings, BetMGM",5,16.611973,17.5,-0.888027000000001,0.888027000000001,0.4878048780487805,0.5238095238095238,False,NONE,0.0,False,False,False
Aaron Wiggins,2025-03-09,aaron wiggins,12,23.804148,11.804148,11.804148,17.5,108.0,-115.0,"Fanatics, DraftKings, Caesars",12,23.804148,17.5,6.304148000000001,6.304148000000001,0.4807692307692308,0.5348837209302325,False,OVER,-100.0,False,False,True
Aaron Wiggins,2025-03-12,aaron wiggins,4,20.420694,16.420694,16.420694,21.5,-105.0,-120.0,"DraftKings, BetOnline.ag, BetMGM",4,20.420694,21.5,-1.079305999999999,1.079305999999999,0.5121951219512195,0.5454545454545454,False,NONE,0.0,False,False,False
Aaron Wiggins,2025-04-06,aaron wiggins,10,18.080341,8.080341,8.080341,13.5,-110.0,100.0,"Fanatics, DraftKings, BetOnline.ag",10,18.080341,13.5,4.580341000000001,4.580341000000001,0.5238095238095238,0.5,False,NONE,0.0,False,False,False
Aaron Wiggins,2025-04-13,aaron wiggins,42,24.9393,-17.0607,17.0607,33.5,100.0,-125.0,"BetOnline.ag, Bovada",42,24.9393,33.5,-8.5607,8.5607,0.5,0.5555555555555556,False,NONE,0.0,False,False,False
Adem Bona,2025-01-12,adem bona,0,8.903779,8.903779,8.903779,8.5,100.0,-137.0,Caesars,0,8.903779,8.5,0.4037790000000001,0.4037790000000001,0.5,0.5780590717299579,False,NONE,0.0,False,False,False
Adem Bona,2025-03-10,adem bona,15,15.583075,0.58307457,0.58307457,16.5,110.0,-114.0,"BetOnline.ag, Bovada",15,15.583075,16.5,-0.9169250000000009,0.9169250000000009,0.47619047619047616,0.5327102803738317,False,NONE,0.0,False,False,False
Adem Bona,2025-03-12,adem bona,23,13.240588,-9.759412,9.759412,12.5,-135.0,105.0,Bovada,23,13.240588,12.5,0.7405880000000007,0.7405880000000007,0.574468085106383,0.4878048780487805,False,NONE,0.0,False,False,False
Adem Bona,2025-03-14,adem bona,25,13.735802,-11.264198,11.264198,22.5,125.0,-135.0,"BetOnline.ag, Bovada",25,13.735802,22.5,-8.764198,8.764198,0.4444444444444444,0.574468085106383,False,NONE,0.0,False,False,False
Adem Bona,2025-03-26,adem bona,15,16.13746,1.1374607,1.1374607,16.5,105.0,-114.0,"BetOnline.ag, Bovada",15,16.13746,16.5,-0.3625399999999992,0.3625399999999992,0.4878048780487805,0.5327102803738317,False,NONE,0.0,False,False,False
Adem Bona,2025-03-29,adem bona,27,13.823305,-13.176695,13.176695,14.5,-116.0,115.0,"BetOnline.ag, Bovada",27,13.823305,14.5,-0.6766950000000005,0.6766950000000005,0.5370370370370371,0.46511627906976744,False,NONE,0.0,False,False,False
Adem Bona,2025-03-30,adem bona,22,16.942825,-5.0571747,5.0571747,21.5,-122.0,105.0,"Fanatics, BetOnline.ag, Bovada",22,16.942825,21.5,-4.557175000000001,4.557175000000001,0.5495495495495496,0.4878048780487805,False,NONE,0.0,False,False,False
Adem Bona,2025-04-01,adem bona,19,17.091753,-1.908247,1.908247,18.5,100.0,110.0,"BetOnline.ag, Fanatics, DraftKings",19,17.091753,18.5,-1.4082469999999994,1.4082469999999994,0.5,0.47619047619047616,False,NONE,0.0,False,False,False
Adem Bona,2025-04-03,adem bona,34,14.079521,-19.920479,19.920479,17.5,-114.0,-114.0,BetOnline.ag,34,14.079521,17.5,-3.4204790000000003,3.4204790000000003,0.5327102803738317,0.5327102803738317,False,NONE,0.0,False,False,False
Adem Bona,2025-04-05,adem bona,16,15.782006,-0.21799374,0.21799374,19.5,100.0,-103.0,"BetOnline.ag, Bovada",16,15.782006,19.5,-3.717993999999999,3.717993999999999,0.5,0.5073891625615764,False,NONE,0.0,False,False,False
Adem Bona,2025-04-07,adem bona,28,17.91237,-10.087629,10.087629,21.5,110.0,-115.0,"Fanatics, BetOnline.ag, Bovada",28,17.91237,21.5,-3.5876300000000008,3.5876300000000008,0.47619047619047616,0.5348837209302325,False,NONE,0.0,False,False,False
Adem Bona,2025-04-09,adem bona,26,17.18691,-8.813089,8.813089,25.5,-105.0,-120.0,"DraftKings, Fanatics, BetOnline.ag",26,17.18691,25.5,-8.313089999999999,8.313089999999999,0.5121951219512195,0.5454545454545454,False,NONE,0.0,False,False,False
Adem Bona,2025-04-11,adem bona,25,17.536592,-7.4634075,7.4634075,25.5,115.0,-130.0,"BetOnline.ag, Bovada",25,17.536592,25.5,-7.963408000000001,7.963408000000001,0.46511627906976744,0.5652173913043478,False,NONE,0.0,False,False,False
Adem Bona,2025-04-13,adem bona,25,15.077761,-9.922239,9.922239,26.5,-103.0,-115.0,"BetOnline.ag, Bovada",25,15.077761,26.5,-11.422239,11.422239,0.5073891625615764,0.5348837209302325,False,UNDER,86.95652173913044,True,False,False
Al Horford,2024-10-24,al horford,6,15.9961405,9.9961405,9.9961405,18.5,-104.0,143.0,"DraftKings, FanDuel, Bovada",6,15.9961405,18.5,-2.503859500000001,2.503859500000001,0.5098039215686274,0.411522633744856,False,NONE,0.0,False,False,False
Al Horford,2024-10-26,al horford,23,14.887341,-8.112659,8.112659,16.5,100.0,-105.0,"DraftKings, BetOnline.ag, BetMGM",23,14.887341,16.5,-1.6126590000000007,1.6126590000000007,0.5,0.5121951219512195,False,NONE,0.0,False,False,False
Al Horford,2024-10-28,al horford,16,13.862567,-2.137433,2.137433,17.5,-110.0,110.0,"DraftKings, BetOnline.ag, BetMGM",16,13.862567,17.5,-3.6374329999999997,3.6374329999999997,0.5238095238095238,0.47619047619047616,False,NONE,0.0,False,False,False
Al Horford,2024-10-30,al horford,13,15.379134,2.3791342,2.3791342,16.5,-102.0,-120.0,"Caesars, BetOnline.ag, BetMGM",13,15.379134,16.5,-1.1208659999999995,1.1208659999999995,0.504950495049505,0.5454545454545454,False,NONE,0.0,False,False,False
Al Horford,2024-11-02,al horford,11,15.234343,4.2343426,4.2343426,16.5,-111.0,-105.0,"DraftKings, BetOnline.ag, Caesars",11,15.234343,16.5,-1.2656569999999991,1.2656569999999991,0.5260663507109005,0.5121951219512195,False,NONE,0.0,False,False,False
Al Horford,2024-11-10,al horford,20,13.901939,-6.0980606,6.0980606,16.5,-106.0,-105.0,"FanDuel, DraftKings, Caesars",20,13.901939,16.5,-2.5980609999999995,2.5980609999999995,0.5145631067961165,0.5121951219512195,False,NONE,0.0,False,False,False
Al Horford,2024-11-24,al horford,16,16.96479,0.96479034,0.96479034,16.5,-122.0,-105.0,"BetOnline.ag, Caesars, BetMGM",16,16.96479,16.5,0.4647900000000007,0.4647900000000007,0.5495495495495496,0.5121951219512195,False,NONE,0.0,False,False,False
Al Horford,2024-12-01,al horford,14,16.06619,2.0661907,2.0661907,17.5,-114.0,100.0,"DraftKings, Caesars, BetMGM",14,16.06619,17.5,-1.4338100000000011,1.4338100000000011,0.5327102803738317,0.5,False,NONE,0.0,False,False,False
Al Horford,2024-12-25,al horford,23,17.010397,-5.989603,5.989603,15.5,-120.0,-103.0,"BetMGM, Caesars, BetOnline.ag",23,17.010397,15.5,1.510397000000001,1.510397000000001,0.5454545454545454,0.5073891625615764,False,NONE,0.0,False,False,False
Al Horford,2024-12-29,al horford,13,16.14536,3.145361,3.145361,18.5,-105.0,-115.0,"DraftKings, Caesars, BetOnline.ag",13,16.14536,18.5,-2.35464,2.35464,0.5121951219512195,0.5348837209302325,False,NONE,0.0,False,False,False
Al Horford,2024-12-31,al horford,10,16.318739,6.318739,6.318739,17.5,-105.0,-120.0,"DraftKings, Caesars, BetOnline.ag",10,16.318739,17.5,-1.1812609999999992,1.1812609999999992,0.5121951219512195,0.5454545454545454,False,NONE,0.0,False,False,False
Al Horford,2025-01-05,al horford,15,17.190344,2.1903439,2.1903439,13.5,-105.0,-121.0,"Caesars, BetMGM",15,17.190344,13.5,3.6903439999999996,3.6903439999999996,0.5121951219512195,0.5475113122171946,False,NONE,0.0,False,False,False
Al Horford,2025-01-12,al horford,18,14.93325,-3.0667496,3.0667496,12.5,-127.0,116.0,"Caesars, BetOnline.ag, BetMGM",18,14.93325,12.5,2.4332499999999992,2.4332499999999992,0.5594713656387665,0.46296296296296297,False,NONE,0.0,False,False,False
Al Horford,2025-01-20,al horford,9,14.745209,5.7452087,5.7452087,12.5,-103.0,-113.0,"DraftKings, Caesars, BetMGM",9,14.745209,12.5,2.245208999999999,2.245208999999999,0.5073891625615764,0.5305164319248826,False,NONE,0.0,False,False,False
Al Horford,2025-01-25,al horford,11,12.496802,1.4968023,1.4968023,12.5,105.0,-128.0,"BetOnline.ag, Caesars, BetMGM",11,12.496802,12.5,-0.003197999999999368,0.003197999999999368,0.4878048780487805,0.5614035087719298,False,NONE,0.0,False,False,False
Al Horford,2025-02-02,al horford,6,14.206626,8.206626,8.206626,13.5,105.0,-120.0,"BetOnline.ag, Bovada, BetMGM",6,14.206626,13.5,0.706626,0.706626,0.4878048780487805,0.5454545454545454,False,NONE,0.0,False,False,False
Al Horford,2025-02-23,al horford,8,16.131008,8.131008,8.131008,11.5,-103.0,-105.0,"BetOnline.ag, Fanatics, Caesars",8,16.131008,11.5,4.631008000000001,4.631008000000001,0.5073891625615764,0.5121951219512195,False,NONE,0.0,False,False,False
Al Horford,2025-03-02,al horford,27,17.483835,-9.516165,9.516165,18.5,110.0,-115.0,"DraftKings, Fanatics, Caesars",27,17.483835,18.5,-1.0161650000000009,1.0161650000000009,0.47619047619047616,0.5348837209302325,False,NONE,0.0,False,False,False
Al Horford,2025-03-12,al horford,34,20.184786,-13.815214,13.815214,19.5,100.0,-105.0,"Fanatics, DraftKings, BetOnline.ag",34,20.184786,19.5,0.684785999999999,0.684785999999999,0.5,0.5121951219512195,False,NONE,0.0,False,False,False
Al Horford,2025-03-14,al horford,23,21.286634,-1.7133656,1.7133656,20.5,-105.0,-105.0,"BetOnline.ag, Fanatics, DraftKings",23,21.286634,20.5,0.7866339999999994,0.7866339999999994,0.5121951219512195,0.5121951219512195,False,NONE,0.0,False,False,False
Al Horford,2025-03-18,al horford,15,20.894768,5.8947678,5.8947678,19.5,-104.0,-118.0,"DraftKings, Fanatics, FanDuel",15,20.894768,19.5,1.3947679999999991,1.3947679999999991,0.5098039215686274,0.5412844036697247,False,NONE,0.0,False,False,False
Al Horford,2025-03-23,al horford,21,16.8187,-4.181299,4.181299,19.5,-109.0,-104.0,"DraftKings, Fanatics, FanDuel",21,16.8187,19.5,-2.6813000000000002,2.6813000000000002,0.5215311004784688,0.5098039215686274,False,NONE,0.0,False,False,False
Al Horford,2025-03-31,al horford,36,18.798073,-17.201927,17.201927,17.5,-110.0,-105.0,"BetOnline.ag, Fanatics, DraftKings",36,18.798073,17.5,1.2980729999999987,1.2980729999999987,0.5238095238095238,0.5121951219512195,False,NONE,0.0,False,False,False
Al Horford,2025-04-04,al horford,12,23.276466,11.276466,11.276466,14.5,-113.0,-110.0,"Fanatics, DraftKings, BetMGM",12,23.276466,14.5,8.776466,8.776466,0.5305164319248826,0.5238095238095238,False,NONE,0.0,False,False,False
Al Horford,2025-04-06,al horford,25,19.80038,-5.1996193,5.1996193,20.5,100.0,-105.0,"BetOnline.ag, Fanatics, BetMGM",25,19.80038,20.5,-0.6996199999999995,0.6996199999999995,0.5,0.5121951219512195,False,NONE,0.0,False,False,False
Al Horford,2025-04-11,al horford,24,19.25474,-4.7452602,4.7452602,17.5,115.0,-125.0,"BetOnline.ag, Bovada",24,19.25474,17.5,1.7547400000000017,1.7547400000000017,0.46511627906976744,0.5555555555555556,False,NONE,0.0,False,False,False
