PLAYER_NAME,game_date,player_lower,TEAM_ABBREVIATION,OPPONENT,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Nesmith,2024-05-10,aaron nesmith,IND,NYK,17,19.506039,2.5060386657714844,2.5060386657714844,17.5,-110.0,-110.0,"DraftKings, FanDuel, BetOnline.ag",17,19.506039,17.5,2.0060390000000012,2.0060390000000012,0.5238095238095238,0.5238095238095238,NONE,0.0,False,False,False
Aaron Nesmith,2024-05-12,aaron nesmith,IND,NYK,21,12.08262,-8.917380332946777,8.917380332946777,16.5,-118.0,-102.0,"DraftKings, Caesars, BetOnline.ag",21,12.08262,16.5,-4.41738,4.41738,0.5412844036697247,0.504950495049505,UNDER,-100.0,False,False,True
Aaron Nesmith,2024-05-19,aaron nesmith,IND,NYK,24,14.644439,-9.355561256408691,9.355561256408691,16.5,100.0,-115.0,"DraftKings, FanDuel, BetMGM",24,14.644439,16.5,-1.8555609999999998,1.8555609999999998,0.5,0.5348837209302325,NONE,0.0,False,False,False
Aaron Wiggins,2024-01-28,aaron wiggins,OKC,DET,8,14.057913,6.057912826538086,6.057912826538086,10.5,-108.0,-120.0,"BetOnline.ag, BetMGM",8,14.057913,10.5,3.557912999999999,3.557912999999999,0.5192307692307693,0.5454545454545454,OVER,-100.0,False,False,True
Aaron Wiggins,2024-02-10,aaron wiggins,OKC,DAL,11,15.805074,4.8050737380981445,4.8050737380981445,10.5,-112.0,-110.0,"BetOnline.ag, BetMGM",11,15.805074,10.5,5.305073999999999,5.305073999999999,0.5283018867924528,0.5238095238095238,OVER,89.28571428571429,True,False,False
Aaron Wiggins,2024-02-11,aaron wiggins,OKC,SAC,7,9.826718,2.826718330383301,2.826718330383301,12.5,104.0,-127.0,"BetOnline.ag, Caesars, BetMGM",7,9.826718,12.5,-2.6732820000000004,2.6732820000000004,0.49019607843137253,0.5594713656387665,NONE,0.0,False,False,False
Aaron Wiggins,2024-03-24,aaron wiggins,OKC,MIL,11,11.688395,0.6883945465087891,0.6883945465087891,6.5,-130.0,100.0,"BetOnline.ag, BetMGM",11,11.688395,6.5,5.188395,5.188395,0.5652173913043478,0.5,OVER,76.92307692307693,True,False,False
Aaron Wiggins,2024-04-02,aaron wiggins,OKC,PHI,20,20.399826,0.3998260498046875,0.3998260498046875,18.5,-105.0,-119.0,"DraftKings, PointsBet (US), BetMGM",20,20.399826,18.5,1.899826000000001,1.899826000000001,0.5121951219512195,0.54337899543379,NONE,0.0,False,False,False
Aaron Wiggins,2024-04-03,aaron wiggins,OKC,BOS,16,18.100107,2.100107192993164,2.100107192993164,17.5,110.0,100.0,"DraftKings, PointsBet (US), BetMGM",16,18.100107,17.5,0.6001070000000013,0.6001070000000013,0.47619047619047616,0.5,NONE,0.0,False,False,False
Aaron Wiggins,2024-04-05,aaron wiggins,OKC,IND,6,8.184371,2.184370994567871,2.184370994567871,16.5,105.0,-130.0,"PointsBet (US), BetMGM, Caesars",6,8.184371,16.5,-8.315629,8.315629,0.4878048780487805,0.5652173913043478,UNDER,76.92307692307693,True,False,False
Aaron Wiggins,2024-04-07,aaron wiggins,OKC,CHA,33,22.28237,-10.71763038635254,10.71763038635254,18.5,-106.0,105.0,"DraftKings, FanDuel, PointsBet (US)",33,22.28237,18.5,3.7823700000000002,3.7823700000000002,0.5145631067961165,0.4878048780487805,OVER,94.33962264150944,True,False,False
Aaron Wiggins,2024-04-14,aaron wiggins,OKC,DAL,21,12.205173,-8.794827461242676,8.794827461242676,10.5,-114.0,-114.0,BetOnline.ag,21,12.205173,10.5,1.7051730000000003,1.7051730000000003,0.5327102803738317,0.5327102803738317,NONE,0.0,False,False,False
Aaron Wiggins,2024-04-27,aaron wiggins,OKC,NOP,10,12.434976,2.4349756240844727,2.4349756240844727,7.5,100.0,-120.0,"BetOnline.ag, BetMGM",10,12.434976,7.5,4.934976000000001,4.934976000000001,0.5,0.5454545454545454,OVER,100.0,True,False,False
Aaron Wiggins,2024-05-11,aaron wiggins,OKC,DAL,10,16.168303,6.168302536010742,6.168302536010742,11.5,-120.0,-105.0,"BetOnline.ag, BetMGM",10,16.168303,11.5,4.668303000000002,4.668303000000002,0.5454545454545454,0.5121951219512195,OVER,-100.0,False,False,True
