PLAYER_NAME,PLAYER_ID,GAME_DATE,actual_pra,predicted_pra,error,residual,player_lower,game_date,line,over_price,under_price,bookmaker,betting_line,edge,abs_edge,bet_side,bet_result,bet_won,bet_pushed,bet_lost,quality_score,score_edge,score_confidence,score_context,score_consistency
Zaccharie Risacher,1642258,2025-03-16,18,25.217293,7.217292785644531,7.217292785644531,zaccharie risacher,2025-03-16,18.5,-105.0,-105.0,"Fanatics, DraftKings, Caesars",18.5,6.7172930000000015,6.7172930000000015,OVER,-100.0,False,False,True,0.9450000000000001,0.9,1.0,0.9,1.0
Alex Sarr,1642259,2025-03-21,31,29.161253,1.8387470245361328,-1.8387470245361328,alex sarr,2025-03-21,22.5,100.0,-105.0,"BetOnline.ag, Fanatics, DraftKings",22.5,6.6612529999999985,6.6612529999999985,OVER,100.0,True,False,False,0.8400000000000001,0.9,0.8,1.0,0.6
Alex Sarr,1642259,2025-03-27,30,34.0006,4.000598907470703,4.000598907470703,alex sarr,2025-03-27,27.5,-104.0,-109.0,"BetOnline.ag, Fanatics, DraftKings",27.5,6.500599999999999,6.500599999999999,OVER,96.15384615384616,True,False,False,0.765,0.9,0.5,1.0,0.6
Donovan Clingan,1642270,2025-04-06,18,20.952387,2.9523868560791016,2.9523868560791016,donovan clingan,2025-04-06,26.5,120.0,-110.0,"DraftKings, Fanatics, BetMGM",26.5,-5.547612999999998,5.547612999999998,UNDER,90.9090909090909,True,False,False,0.825,0.5,1.0,0.9,1.0
Kyshawn George,1642273,2024-11-24,25,22.57269,2.4273109436035156,-2.4273109436035156,kyshawn george,2024-11-24,16.5,-117.0,-110.0,"Caesars, BetMGM",16.5,6.0726900000000015,6.0726900000000015,OVER,85.47008547008546,True,False,False,0.885,0.7,1.0,0.9,1.0
Yves Missi,1642274,2024-12-15,25,16.988728,8.011272430419922,-8.011272430419922,yves missi,2024-12-15,23.5,-109.0,-105.0,"Caesars, BetMGM, BetOnline.ag",23.5,-6.511272000000002,6.511272000000002,UNDER,-100.0,False,False,True,0.8,0.9,0.8,0.6,0.9
Kel'el Ware,1642276,2025-03-14,10,21.437632,11.437631607055664,11.437631607055664,kel'el ware,2025-03-14,14.5,130.0,-145.0,"BetMGM, Bovada",14.5,6.937632000000001,6.937632000000001,OVER,-100.0,False,False,True,0.975,1.0,1.0,0.9,1.0
Kel'el Ware,1642276,2025-03-25,24,26.160141,2.1601409912109375,2.1601409912109375,kel'el ware,2025-03-25,19.5,100.0,-108.0,"DraftKings, Fanatics, BetOnline.ag",19.5,6.660140999999999,6.660140999999999,OVER,100.0,True,False,False,0.9450000000000001,0.9,1.0,0.9,1.0
Jamal Shead,1642347,2025-03-24,19,21.598476,2.59847640991211,2.59847640991211,jamal shead,2025-03-24,15.5,100.0,-103.0,"DraftKings, Fanatics, FanDuel",15.5,6.098476000000002,6.098476000000002,OVER,100.0,True,False,False,0.885,0.7,1.0,0.9,1.0
Justin Edwards,1642348,2025-03-30,23,18.917973,4.082027435302734,-4.082027435302734,justin edwards,2025-03-30,24.5,100.0,-115.0,"Fanatics, BetOnline.ag, BetMGM",24.5,-5.582027,5.582027,UNDER,86.95652173913044,True,False,False,0.75,0.5,1.0,0.6,1.0
