PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost,predicted_PRA_calibrated,quality_score
Keon Ellis,2024-12-22,keon ellis,3,10.793314,7.793314,7.793314,7.5,-113.0,-115.0,"Caesars, BetMGM",3,10.793314,7.5,6.650900900900901,6.650900900900901,0.5305164319248826,0.5348837209302325,OVER,-100.0,False,False,True,14.1509009009009,0.75
Ben Sheppard,2024-12-22,ben sheppard,15,9.833861,-5.1661386,5.1661386,7.5,-133.0,100.0,"Caesars, BetMGM",15,9.833861,7.5,6.650900900900901,6.650900900900901,0.5708154506437768,0.5,OVER,0.0,True,False,False,14.1509009009009,0.75
Naji Marshall,2024-12-25,naji marshall,6,14.966579,8.966579,8.966579,10.5,-105.0,100.0,"DraftKings, BetMGM, Caesars",6,14.966579,10.5,6.03846153846154,6.03846153846154,0.5121951219512195,0.5,OVER,-100.0,False,False,True,16.53846153846154,0.765
Tre Jones,2024-12-25,tre jones,17,10.757753,-6.2422466,6.2422466,7.5,-120.0,-110.0,"BetMGM, Caesars",17,10.757753,7.5,6.650900900900901,6.650900900900901,0.5454545454545454,0.5238095238095238,OVER,83.33333333333334,True,False,False,14.1509009009009,0.75
Spencer Dinwiddie,2024-12-25,spencer dinwiddie,5,14.578817,9.578817,9.578817,10.5,104.0,-125.0,"BetMGM, Caesars",5,14.578817,10.5,6.03846153846154,6.03846153846154,0.4901960784313725,0.5555555555555556,OVER,-100.0,False,False,True,16.53846153846154,0.765
Miles Bridges,2024-12-28,miles bridges,35,29.445845,-5.5541553,5.5541553,30.5,-108.0,-105.0,"BetOnline.ag, Caesars, FanDuel",35,29.445845,30.5,-6.8089887640449405,6.8089887640449405,0.5192307692307693,0.5121951219512195,UNDER,0.0,False,False,False,23.69101123595506,0.865
Gary Harris,2024-12-29,gary harris,8,6.8462944,-1.1537056,1.1537056,6.5,-113.0,-115.0,"Caesars, BetMGM",8,6.8462944,6.5,6.764840182648404,6.764840182648404,0.5305164319248826,0.5348837209302325,OVER,0.0,True,False,False,13.264840182648404,0.78
Ben Sheppard,2024-12-29,ben sheppard,13,9.5422945,-3.4577055,3.4577055,7.5,-125.0,-109.0,Caesars,13,9.5422945,7.5,6.650900900900901,6.650900900900901,0.5555555555555556,0.5215311004784688,OVER,0.0,True,False,False,14.1509009009009,0.75
Kelly Olynyk,2024-12-29,kelly olynyk,14,22.082071,8.082071,8.082071,13.5,-114.0,110.0,"Caesars, BetOnline.ag, BetMGM",14,22.082071,13.5,6.914746543778801,6.914746543778801,0.5327102803738317,0.4761904761904761,OVER,87.71929824561403,True,False,False,20.4147465437788,0.865
Malcolm Brogdon,2025-01-05,malcolm brogdon,12,22.65708,10.65708,10.65708,26.5,-110.0,-105.0,"BetOnline.ag, DraftKings, Caesars",12,22.65708,26.5,-6.085253456221199,6.085253456221199,0.5238095238095238,0.5121951219512195,UNDER,95.23809523809524,True,False,False,20.4147465437788,0.7749999999999999
