PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Wiggins,2024-04-03,aaron wiggins,16,22.352446,6.3524456,6.3524456,17.5,110.0,100.0,"DraftKings, PointsBet (US), BetMGM",16,22.352446,17.5,4.8524460000000005,4.8524460000000005,0.47619047619047616,0.5,OVER,-100.0,False,False,True
Aaron Wiggins,2024-04-05,aaron wiggins,6,14.91574,8.91574,8.91574,16.5,105.0,-130.0,"PointsBet (US), BetMGM, Caesars",6,14.91574,16.5,-1.5842600000000004,1.5842600000000004,0.4878048780487805,0.5652173913043478,NONE,0.0,False,False,False
Aaron Wiggins,2024-04-07,aaron wiggins,33,7.320363,-25.679638,25.679638,18.5,-106.0,105.0,"DraftKings, FanDuel, PointsBet (US)",33,7.320363,18.5,-11.179637,11.179637,0.5145631067961165,0.4878048780487805,UNDER,-100.0,False,False,True
Aaron Wiggins,2024-04-14,aaron wiggins,21,25.997534,4.997534,4.997534,10.5,-114.0,-114.0,BetOnline.ag,21,25.997534,10.5,15.497534000000002,15.497534000000002,0.5327102803738317,0.5327102803738317,OVER,87.71929824561403,True,False,False
Aaron Wiggins,2024-04-27,aaron wiggins,10,14.20559,4.2055902,4.2055902,7.5,100.0,-120.0,"BetOnline.ag, BetMGM",10,14.20559,7.5,6.705590000000001,6.705590000000001,0.5,0.5454545454545454,OVER,100.0,True,False,False
Aaron Wiggins,2024-05-11,aaron wiggins,10,12.716311,2.7163115,2.7163115,11.5,-120.0,-105.0,"BetOnline.ag, BetMGM",10,12.716311,11.5,1.2163109999999993,1.2163109999999993,0.5454545454545454,0.5121951219512195,NONE,0.0,False,False,False
Al Horford,2023-11-24,al horford,11,24.985569,13.985569,13.985569,17.5,-101.0,-108.0,"FanDuel, DraftKings, PointsBet (US)",11,24.985569,17.5,7.485569000000002,7.485569000000002,0.5024875621890548,0.5192307692307693,OVER,-100.0,False,False,True
Al Horford,2023-11-26,al horford,24,11.862099,-12.137901,12.137901,20.5,-103.0,-104.0,"DraftKings, FanDuel, PointsBet (US)",24,11.862099,20.5,-8.637901,8.637901,0.5073891625615764,0.5098039215686274,UNDER,-100.0,False,False,True
Al Horford,2023-12-17,al horford,18,21.478708,3.4787083,3.4787083,15.5,-102.0,-105.0,"Caesars, PointsBet (US), FanDuel",18,21.478708,15.5,5.978708000000001,5.978708000000001,0.504950495049505,0.5121951219512195,OVER,98.0392156862745,True,False,False
Al Horford,2023-12-23,al horford,19,32.453045,13.453045,13.453045,21.5,-105.0,188.0,"DraftKings, FanDuel, PointsBet (US)",19,32.453045,21.5,10.953045000000003,10.953045000000003,0.5121951219512195,0.3472222222222222,OVER,-100.0,False,False,True
Al Horford,2023-12-25,al horford,13,19.539318,6.539318,6.539318,8.5,105.0,100.0,"DraftKings, FanDuel, Bovada",13,19.539318,8.5,11.039318000000002,11.039318000000002,0.4878048780487805,0.5,OVER,105.0,True,False,False
Al Horford,2024-02-04,al horford,18,18.483149,0.48314857,0.48314857,18.5,-105.0,-109.0,"DraftKings, BetOnline.ag, PointsBet (US)",18,18.483149,18.5,-0.01685099999999906,0.01685099999999906,0.5121951219512195,0.5215311004784688,NONE,0.0,False,False,False
Al Horford,2024-02-11,al horford,9,13.465677,4.4656773,4.4656773,14.5,-115.0,-110.0,"PointsBet (US), Caesars, BetOnline.ag",9,13.465677,14.5,-1.0343230000000005,1.0343230000000005,0.5348837209302325,0.5238095238095238,NONE,0.0,False,False,False
Al Horford,2024-03-03,al horford,15,25.707352,10.707352,10.707352,19.5,132.0,-113.0,"DraftKings, BetOnline.ag, PointsBet (US)",15,25.707352,19.5,6.207352,6.207352,0.43103448275862066,0.5305164319248826,OVER,-100.0,False,False,True
Al Horford,2024-03-14,al horford,30,20.104769,-9.895231,9.895231,19.5,-109.0,-115.0,"DraftKings, PointsBet (US), BetMGM",30,20.104769,19.5,0.604769000000001,0.604769000000001,0.5215311004784688,0.5348837209302325,NONE,0.0,False,False,False
Al Horford,2024-03-17,al horford,20,34.252525,14.252525,14.252525,23.5,-105.0,138.0,"DraftKings, FanDuel, PointsBet (US)",20,34.252525,23.5,10.752524999999999,10.752524999999999,0.5121951219512195,0.42016806722689076,OVER,-100.0,False,False,True
Al Horford,2024-03-20,al horford,16,21.779663,5.779663,5.779663,17.5,-105.0,100.0,"DraftKings, PointsBet (US), BetMGM",16,21.779663,17.5,4.279662999999999,4.279662999999999,0.5121951219512195,0.5,OVER,-100.0,False,False,True
Al Horford,2024-03-25,al horford,18,36.772926,18.772926,18.772926,18.5,-108.0,-120.0,"DraftKings, PointsBet (US), BetOnline.ag",18,36.772926,18.5,18.272926,18.272926,0.5192307692307693,0.5454545454545454,OVER,-100.0,False,False,True
Al Horford,2024-03-30,al horford,17,22.012547,5.0125465,5.0125465,13.5,-120.0,-110.0,"BetMGM, Caesars",17,22.012547,13.5,8.512547000000001,8.512547000000001,0.5454545454545454,0.5238095238095238,OVER,83.33333333333334,True,False,False
Al Horford,2024-04-01,al horford,23,19.66107,-3.3389301,3.3389301,19.5,105.0,-110.0,"DraftKings, BetOnline.ag, PointsBet (US)",23,19.66107,19.5,0.16106999999999871,0.16106999999999871,0.4878048780487805,0.5238095238095238,NONE,0.0,False,False,False
Al Horford,2024-04-03,al horford,22,24.429138,2.4291382,2.4291382,13.5,-123.0,-105.0,"BetMGM, Caesars, BetOnline.ag",22,24.429138,13.5,10.929137999999998,10.929137999999998,0.5515695067264574,0.5121951219512195,OVER,81.30081300813008,True,False,False
Al Horford,2024-04-05,al horford,15,25.387217,10.387217,10.387217,19.5,105.0,-115.0,"DraftKings, PointsBet (US), FanDuel",15,25.387217,19.5,5.887217,5.887217,0.4878048780487805,0.5348837209302325,OVER,-100.0,False,False,True
Al Horford,2024-04-07,al horford,16,16.463495,0.46349525,0.46349525,16.5,-105.0,-105.0,"DraftKings, PointsBet (US), Caesars",16,16.463495,16.5,-0.03650499999999823,0.03650499999999823,0.5121951219512195,0.5121951219512195,NONE,0.0,False,False,False
Al Horford,2024-04-11,al horford,9,17.022133,8.022133,8.022133,12.5,-112.0,-110.0,"BetOnline.ag, Caesars, BetMGM",9,17.022133,12.5,4.522133,4.522133,0.5283018867924528,0.5238095238095238,OVER,-100.0,False,False,True
Al Horford,2024-04-21,al horford,17,10.358208,-6.6417923,6.6417923,13.5,-108.0,-110.0,"BetOnline.ag, Caesars, BetMGM",17,10.358208,13.5,-3.1417920000000006,3.1417920000000006,0.5192307692307693,0.5238095238095238,UNDER,-100.0,False,False,True
Al Horford,2024-04-24,al horford,17,20.520782,3.5207825,3.5207825,14.5,105.0,-120.0,"DraftKings, PointsBet (US), BetOnline.ag",17,20.520782,14.5,6.0207820000000005,6.0207820000000005,0.4878048780487805,0.5454545454545454,OVER,105.0,True,False,False
Al Horford,2024-04-27,al horford,16,17.49877,1.4987698,1.4987698,14.5,100.0,-115.0,"DraftKings, BetMGM, FanDuel",16,17.49877,14.5,2.9987700000000004,2.9987700000000004,0.5,0.5348837209302325,NONE,0.0,False,False,False
Al Horford,2024-04-29,al horford,17,18.406918,1.4069176,1.4069176,13.5,-110.0,-108.0,"BetOnline.ag, Caesars, BetMGM",17,18.406918,13.5,4.906918000000001,4.906918000000001,0.5238095238095238,0.5192307692307693,OVER,90.9090909090909,True,False,False
Al Horford,2024-05-01,al horford,17,20.592804,3.592804,3.592804,20.5,160.0,115.0,"DraftKings, PointsBet (US), BetOnline.ag",17,20.592804,20.5,0.092804000000001,0.092804000000001,0.38461538461538464,0.46511627906976744,NONE,0.0,False,False,False
Al Horford,2024-05-07,al horford,19,17.007172,-1.9928284,1.9928284,20.5,155.0,-110.0,"DraftKings, FanDuel, BetMGM",19,17.007172,20.5,-3.4928279999999994,3.4928279999999994,0.39215686274509803,0.5238095238095238,UNDER,90.9090909090909,True,False,False
Al Horford,2024-05-09,al horford,14,20.043083,6.043083,6.043083,19.5,130.0,105.0,"DraftKings, FanDuel, Caesars",14,20.043083,19.5,0.5430829999999993,0.5430829999999993,0.43478260869565216,0.4878048780487805,NONE,0.0,False,False,False
Al Horford,2024-05-13,al horford,12,13.861204,1.8612041,1.8612041,18.5,105.0,175.0,"DraftKings, FanDuel, BetOnline.ag",12,13.861204,18.5,-4.638795999999999,4.638795999999999,0.4878048780487805,0.36363636363636365,UNDER,175.0,True,False,False
Al Horford,2024-05-15,al horford,42,15.556263,-26.443737,26.443737,17.5,105.0,155.0,"DraftKings, FanDuel, Caesars",42,15.556263,17.5,-1.9437370000000005,1.9437370000000005,0.4878048780487805,0.39215686274509803,NONE,0.0,False,False,False
Alec Burks,2023-11-19,alec burks,19,15.972491,-3.0275087,3.0275087,18.5,105.0,-115.0,"DraftKings, PointsBet (US), BetMGM",19,15.972491,18.5,-2.5275090000000002,2.5275090000000002,0.4878048780487805,0.5348837209302325,NONE,0.0,False,False,False
Alec Burks,2023-12-16,alec burks,2,7.835953,5.835953,5.835953,10.5,-118.0,-105.0,"BetMGM, BetOnline.ag",2,7.835953,10.5,-2.664047,2.664047,0.5412844036697247,0.5121951219512195,NONE,0.0,False,False,False
Alec Burks,2023-12-30,alec burks,17,17.267168,0.26716805,0.26716805,15.5,-114.0,-114.0,"BetOnline.ag, Caesars, BetMGM",17,17.267168,15.5,1.7671680000000016,1.7671680000000016,0.5327102803738317,0.5327102803738317,NONE,0.0,False,False,False
Alec Burks,2024-01-15,alec burks,38,22.99005,-15.009951,15.009951,23.5,-116.0,-110.0,"DraftKings, PointsBet (US), BetMGM",38,22.99005,23.5,-0.5099499999999999,0.5099499999999999,0.5370370370370371,0.5238095238095238,NONE,0.0,False,False,False
Alec Burks,2024-01-20,alec burks,46,14.536394,-31.463606,31.463606,19.5,-103.0,-125.0,"DraftKings, Caesars, BetOnline.ag",46,14.536394,19.5,-4.963606,4.963606,0.5073891625615764,0.5555555555555556,UNDER,-100.0,False,False,True
Alec Burks,2024-01-27,alec burks,12,17.609615,5.6096153,5.6096153,18.5,-115.0,-110.0,"DraftKings, BetOnline.ag, Caesars",12,17.609615,18.5,-0.8903849999999984,0.8903849999999984,0.5348837209302325,0.5238095238095238,NONE,0.0,False,False,False
Alec Burks,2024-01-28,alec burks,18,14.066354,-3.9336462,3.9336462,15.5,-112.0,-111.0,"BetOnline.ag, Caesars, BetMGM",18,14.066354,15.5,-1.4336459999999995,1.4336459999999995,0.5283018867924528,0.5260663507109005,NONE,0.0,False,False,False
Alec Burks,2024-02-04,alec burks,14,9.885047,-4.114953,4.114953,15.5,-101.0,-127.0,"BetOnline.ag, Caesars, BetMGM",14,9.885047,15.5,-5.614953,5.614953,0.5024875621890548,0.5594713656387665,UNDER,78.74015748031496,True,False,False
Alec Burks,2024-03-23,alec burks,8,27.061947,19.061947,19.061947,11.5,-120.0,-105.0,"BetOnline.ag, BetMGM",8,27.061947,11.5,15.561947,15.561947,0.5454545454545454,0.5121951219512195,OVER,-100.0,False,False,True
Alec Burks,2024-03-31,alec burks,8,8.1539755,0.15397549,0.15397549,9.5,-115.0,-110.0,"BetOnline.ag, BetMGM",8,8.1539755,9.5,-1.3460245000000004,1.3460245000000004,0.5348837209302325,0.5238095238095238,NONE,0.0,False,False,False
Alec Burks,2024-04-02,alec burks,2,9.082283,7.082283,7.082283,7.5,-127.0,100.0,"BetOnline.ag, BetMGM",2,9.082283,7.5,1.5822830000000003,1.5822830000000003,0.5594713656387665,0.5,NONE,0.0,False,False,False
Alec Burks,2024-05-12,alec burks,27,20.91754,-6.0824604,6.0824604,12.5,110.0,-130.0,"Caesars, BetOnline.ag, BetMGM",27,20.91754,12.5,8.417539999999999,8.417539999999999,0.47619047619047616,0.5652173913043478,OVER,110.0,True,False,False
Alec Burks,2024-05-19,alec burks,31,17.733519,-13.266481,13.266481,9.5,-110.0,-120.0,BetMGM,31,17.733519,9.5,8.233519000000001,8.233519000000001,0.5238095238095238,0.5454545454545454,OVER,90.9090909090909,True,False,False
Aleksej Pokusevski,2024-03-19,aleksej pokusevski,9,11.442164,2.4421644,2.4421644,10.5,-123.0,-105.0,"BetOnline.ag, BetMGM",9,11.442164,10.5,0.942164,0.942164,0.5515695067264574,0.5121951219512195,NONE,0.0,False,False,False
Aleksej Pokusevski,2024-03-23,aleksej pokusevski,18,10.459652,-7.540348,7.540348,12.5,104.0,-120.0,"BetOnline.ag, Caesars, BetMGM",18,10.459652,12.5,-2.040348,2.040348,0.49019607843137253,0.5454545454545454,NONE,0.0,False,False,False
