bet_num,date,bet_size,bet_won,profit,bankroll
95,2025-01-19,154.3714717153645,True,140.33770155942227,2745.7633845191594
96,2025-01-19,162.68648053276027,True,147.8968004843275,2893.6601850034867
97,2025-01-19,171.4493659614567,True,155.86305996496063,3049.523244968447
98,2025-01-19,180.6842522643806,True,164.2584111494369,3213.7816561178843
99,2025-01-20,190.41656312498475,False,-190.41656312498475,3023.3650929928995
100,2025-01-25,179.13438175982938,True,162.84943796348125,3186.2145309563807
101,2025-01-25,188.78321095916567,True,171.6211008719688,3357.8356318283495
102,2025-01-25,198.9517611858298,True,180.86523744166345,3538.700869270013
103,2025-01-25,209.66802650424836,True,190.60729682204396,3729.308166092057
104,2025-01-25,220.9615088409545,True,200.87409894632228,3930.1822650383792
105,2025-01-25,232.8632992035241,True,211.69390836684008,4141.87617340522
106,2025-01-25,245.4061632742594,True,223.09651206750854,4364.972685472728
107,2025-01-25,258.6246316142593,True,235.11330146750842,4600.085986940237
108,2025-02-01,272.5550947262092,True,247.77735884200834,4847.863345782245
109,2025-02-01,287.23590323759817,True,261.1235483978165,5108.986894180061
110,2025-02-01,302.7074734801688,True,275.1886122546989,5384.17550643476
111,2025-02-01,319.0123987562597,True,290.0112715965997,5674.18677803136
112,2025-02-01,336.19556659835825,True,305.63233327123476,5979.819111302594
113,2025-02-01,354.3042823446789,True,322.09480213152625,6301.91391343412
114,2025-02-01,373.38839937097185,True,339.44399942815625,6641.357912862277
115,2025-02-01,393.5004563370901,True,357.7276875791728,6999.08560044145
116,2025-02-01,414.69582182615613,True,376.99620166014194,7376.081802101592
117,2025-02-01,437.03284677451956,True,397.3025879768359,7773.384390078428
118,2025-02-01,460.5730251121471,True,418.7027501019519,8192.08714018038
119,2025-02-08,485.38116305568775,False,-485.38116305568775,7706.705977124692
120,2025-02-08,456.6223291446383,False,-456.6223291446383,7250.083647980054
121,2025-02-08,429.5674561428184,False,-429.5674561428184,6820.516191837235
122,2025-02-08,404.1155843663564,False,-404.1155843663564,6416.400607470879
123,2025-02-23,380.17173599264976,True,345.610669084227,6762.011276555106
124,2025-02-23,400.64916813589025,True,364.22651648717294,7126.237793042279
125,2025-03-02,422.22958923775525,False,-422.22958923775525,6704.008203804524
126,2025-03-02,397.21248607541827,False,-397.21248607541827,6306.7957177291055
127,2025-03-02,373.6776462754497,False,-373.6776462754497,5933.118071453656
128,2025-03-02,351.5372457336293,False,-351.5372457336293,5581.580825720027
129,2025-03-02,330.7086639239118,True,300.64423993082886,5882.225065650856
130,2025-03-02,348.5218351398134,True,316.8380319452849,6199.063097596141
131,2025-03-02,367.29448853257156,True,333.90408048415594,6532.967178080297
132,2025-03-02,387.07830530125784,True,351.88936845568895,6884.856546535986
133,2025-03-02,407.9277503822574,True,370.8434094384158,7255.699955974402
134,2025-03-02,429.9002223914835,True,390.81838399225774,7646.518339966659
135,2025-03-02,453.0562116430248,True,411.8692833118407,8058.3876232785005
136,2025-03-02,477.4594666792514,True,434.05406061750125,8492.441683896002
137,2025-03-02,503.1771697708384,True,457.4337907007622,8949.875474596765
138,2025-03-02,530.2801218698586,False,-530.2801218698586,8419.595352726907
139,2025-03-02,498.86102464906946,False,-498.86102464906946,7920.734328077837
140,2025-03-02,469.3035089386121,False,-469.3035089386121,7451.430819139225
141,2025-03-02,441.4972760339993,False,-441.4972760339993,7009.933543105225
142,2025-03-02,415.3385624289848,False,-415.3385624289848,6594.59498067624
143,2025-03-02,390.72975260506746,False,-390.72975260506746,6203.865228071172
144,2025-03-02,367.5790147632172,False,-367.5790147632172,5836.286213307955
145,2025-03-02,345.79995813849655,False,-345.79995813849655,5490.486255169459
146,2025-03-02,325.3113106187906,True,295.73755510799145,5786.22381027745
147,2025-03-09,342.8337607589391,False,-342.8337607589391,5443.390049518511
148,2025-03-09,322.52086043397196,False,-322.52086043397196,5120.869189084538
149,2025-03-09,303.41149945325907,False,-303.41149945325907,4817.457689631279
150,2025-03-09,285.43436811065345,False,-285.43436811065345,4532.023321520625
151,2025-03-09,268.5223818000972,False,-268.5223818000972,4263.500939720529
152,2025-03-09,252.61243067844146,False,-252.61243067844146,4010.888509042087
153,2025-03-09,237.6451441607438,False,-237.6451441607438,3773.2433648813435
154,2025-03-09,223.56466936921973,False,-223.56466936921973,3549.678695512124
155,2025-03-09,210.31846270909344,False,-210.31846270909344,3339.36023280303
156,2025-03-09,197.85709379357965,True,179.87008526689058,3519.230318069921
157,2025-03-09,208.51439634564292,False,-208.51439634564292,3310.715921724278
158,2025-03-09,196.15991836216358,True,178.3271985110578,3489.0431202353357
159,2025-03-09,206.72580487394376,True,187.9325498854034,3676.975670120739
160,2025-03-09,217.8608084546539,True,198.05528041332173,3875.0309505340606
161,2025-03-09,229.5955838191432,False,-229.5955838191432,3645.4353667149176
162,2025-03-09,215.992045477859,True,196.3564049798718,3841.7917716947895
163,2025-03-09,227.6261624729164,False,-227.6261624729164,3614.165609221873
164,2025-03-09,214.1393123463961,False,-214.1393123463961,3400.026296875477
165,2025-03-10,201.45155808987212,False,-201.45155808987212,3198.574738785605
166,2025-03-10,189.5155532730472,False,-189.5155532730472,3009.0591855125576
167,2025-03-10,178.28675674161914,True,162.0788697651083,3171.138055277666
168,2025-03-10,187.8899297752018,True,170.80902706836528,3341.947082346031
169,2025-03-10,198.01036462900245,True,180.00942239000221,3521.9565047360334
170,2025-03-12,208.6759229056101,False,-208.6759229056101,3313.280581830423
171,2025-03-12,196.3118744734527,False,-196.3118744734527,3116.9687073569703
172,2025-03-12,184.6803959109006,False,-184.6803959109006,2932.2883114460697
173,2025-03-12,173.73808245317971,False,-173.73808245317971,2758.55022899289
174,2025-03-12,163.44410106782883,False,-163.44410106782883,2595.106127925061
175,2025-03-12,153.76003807955996,False,-153.76003807955996,2441.3460898455014
176,2025-03-14,144.64975582334603,True,131.49977802122365,2572.8458678667253
177,2025-03-15,152.44111767110354,True,138.58283424645776,2711.428702113183
178,2025-03-15,160.6521506002062,True,146.0474096365511,2857.476111749734
179,2025-03-15,169.30545962117185,True,153.9140542010653,3011.3901659507997
180,2025-03-15,178.42486733258497,True,162.20442484780452,3173.5945907986043
181,2025-03-15,188.0354795048174,True,170.94134500437946,3344.5359358029837
182,2025-03-15,198.1637541963269,True,180.14886745120626,3524.68480325419
183,2025-03-15,208.83757459281085,True,189.85234053891895,3714.537143793109
184,2025-03-15,220.08632576974182,True,200.07847797249255,3914.6156217656016
185,2025-03-15,231.940975589612,True,210.85543235419271,4125.471054119795
186,2025-03-16,244.43415995659797,True,222.21287268781631,4347.683926807611
187,2025-03-16,257.60027266335106,True,234.18206605759187,4581.865992865203
188,2025-03-18,271.4755600772634,True,246.79596370660312,4828.6619565718065
189,2025-03-18,286.09822092687966,True,260.0892917517088,5088.751248323515
190,2025-03-18,301.5085114631684,True,274.09864678469853,5362.849895108214
191,2025-03-18,317.7488562851618,True,288.8625966228744,5651.712491731088
192,2025-03-18,334.8639651350672,True,304.4217864864247,5956.134278217513
193,2025-03-18,352.90095598438785,True,320.81905089489806,6276.953329112412
194,2025-03-18,371.9094847499106,True,338.0995315908278,6615.052860703239
195,2025-03-18,391.9418819966671,True,356.31080181515193,6971.363662518391
196,2025-03-23,413.05329700421487,True,375.502997276559,7346.86665979495
197,2025-03-25,435.301849592851,True,395.7289541753191,7742.5956139702685
198,2025-03-25,458.74879012773863,False,-458.74879012773863,7283.84682384253
199,2025-03-25,431.56792431267013,True,392.3344766478819,7676.1813004904125
200,2025-03-25,454.8137420540572,True,413.46703823096107,8089.648338721374
201,2025-03-25,479.31166406924166,True,435.7378764265833,8525.386215147957
202,2025-03-25,505.12913324751673,True,459.2083029522879,8984.594518100244
203,2025-03-25,532.3372251974398,True,483.94293199767253,9468.537450097916
204,2025-03-25,561.0108439183018,True,510.0098581075471,9978.547308205463
205,2025-03-26,591.228928011174,True,537.4808436465219,10516.028151851984
206,2025-03-26,623.0746679972304,True,566.4315163611186,11082.459668213103
207,2025-03-26,656.6357353416267,True,596.941577583297,11679.4012457964
208,2025-03-26,692.0045238134371,True,629.0950216485792,12308.49626744498
209,2025-03-26,729.2784038461155,True,662.9803671328322,12971.476634577812
210,2025-03-26,768.5599905987358,True,698.6909005443052,13670.167535122117
211,2025-03-26,809.9574264559858,True,736.3249331418052,14406.492468263921
212,2025-03-26,853.5846787446378,True,775.9860715860343,15182.478539849955
213,2025-03-26,899.5618534861103,True,817.7835031691911,16000.262043019145
214,2025-03-26,948.0155260488849,True,861.8322964080771,16862.09433942722
215,2025-03-26,999.0790896110634,True,908.2537178282395,17770.34805725546
216,2025-03-27,1052.8931223923867,True,957.1755658112605,18727.52362306672
217,2025-03-27,1109.6057746667038,True,1008.7325224242762,19736.256145491
218,2025-03-29,1169.3731766203423,False,-1169.3731766203423,18566.882968870657
219,2025-03-29,1100.0878159055871,False,-1100.0878159055871,17466.79515296507
220,2025-03-29,1034.907612813181,False,-1034.907612813181,16431.88754015189
221,2025-03-29,973.589336754,False,-973.589336754,15458.29820339789
222,2025-03-29,915.9041685513255,False,-915.9041685513255,14542.394034846564
223,2025-03-29,861.6368465646593,False,-861.6368465646593,13680.757188281905
224,2025-03-30,810.5848634057033,False,-810.5848634057033,12870.172324876201
225,2025-03-30,762.5577102489153,False,-762.5577102489153,12107.614614627286
226,2025-03-30,717.3761659166671,False,-717.3761659166671,11390.23844871062
227,2025-03-30,674.8716280861046,False,-674.8716280861046,10715.366820624515
228,2025-03-30,634.8854841220028,False,-634.8854841220028,10080.481336502511
229,2025-03-30,597.2685191877741,True,542.9713810797947,10623.452717582306
230,2025-03-30,629.4395735167519,True,572.2177941061381,11195.670511688444
231,2025-03-30,663.3434778175407,True,603.0395252886733,11798.710036977118
232,2025-03-30,699.0735696908946,True,635.5214269917224,12434.231463968841
233,2025-03-30,736.7282142401542,True,669.7529220365038,13103.984386005344
234,2025-03-30,776.4110748708171,False,-776.4110748708171,12327.573311134527
235,2025-03-31,730.4087186847212,True,664.0079260770192,12991.581237211547
236,2025-04-02,769.7511883047846,True,699.7738075498041,13691.35504476135
237,2025-04-02,811.2127864021105,True,737.4661694564641,14428.821214217814
238,2025-04-03,854.907656942406,True,777.1887790385508,15206.009993256364
239,2025-04-03,900.9560921004401,True,819.0509928185818,16025.060986074946
240,2025-04-03,949.4848634249411,True,863.1680576590373,16888.229043733983
241,2025-04-03,1000.627570841239,True,909.66142803749,17797.890471771472
242,2025-04-03,1054.5250104524603,False,-1054.5250104524603,16743.365461319012
243,2025-04-03,992.044403583152,False,-992.044403583152,15751.32105773586
244,2025-04-03,933.2657726708502,False,-933.2657726708502,14818.055285065011
245,2025-04-03,877.9697756401024,True,798.1543414910021,15616.209626556014
246,2025-04-03,925.2604203734443,True,841.1458367031312,16457.355463259144
247,2025-04-03,975.0983111981049,False,-975.0983111981049,15482.25715206104
248,2025-04-04,917.3237362596171,True,833.9306693269247,16316.187821387965
249,2025-04-04,966.7341284172375,True,878.849207652034,17195.03702904
250,2025-04-04,1018.8059439706204,True,926.1872217914731,18121.22425083147
251,2025-04-04,1073.6825368617651,True,976.0750335106956,19097.299284342167
252,2025-04-04,1131.514982597274,True,1028.64998417934,20125.94926852151
253,2025-04-04,1192.4624941599,True,1084.0568128726363,21210.006081394145
254,2025-04-04,1256.6928603226038,True,1142.4480548387307,22352.454136232875
255,2025-04-05,1324.3829075717986,False,-1324.3829075717986,21028.071228661076
256,2025-04-05,1245.9132202981693,False,-1245.9132202981693,19782.158008362905
257,2025-04-05,1172.0928619955027,False,-1172.0928619955027,18610.065146367404
258,2025-04-05,1102.6463599222693,False,-1102.6463599222693,17507.418786445134
259,2025-04-05,1037.3145630968747,False,-1037.3145630968747,16470.10422334826
260,2025-04-05,975.8536752333848,False,-975.8536752333848,15494.250548114873
261,2025-04-05,918.0343449758067,False,-918.0343449758067,14576.216203139065
262,2025-04-06,863.6408100359901,False,-863.6408100359901,13712.575393103076
263,2025-04-06,812.4700920413577,False,-812.4700920413577,12900.105301061718
264,2025-04-06,764.3312390879072,False,-764.3312390879072,12135.77406197381
265,2025-04-06,719.0446131719486,False,-719.0446131719486,11416.729448801862
266,2025-04-06,676.4412198415107,False,-676.4412198415107,10740.288228960351
267,2025-04-06,636.3620775659011,False,-636.3620775659011,10103.92615139445
268,2025-04-06,598.6576244701214,True,544.2342040637467,10648.160355458196
269,2025-04-06,630.9035010608984,True,573.5486373280894,11221.708992786285
270,2025-04-06,664.8862578225877,False,-664.8862578225877,10556.822734963698
271,2025-04-06,625.4917470465995,True,568.628860951454,11125.451595915152
272,2025-04-06,659.1830070579731,False,-659.1830070579731,10466.26858885718
273,2025-04-06,620.1264138897882,False,-620.1264138897882,9846.142174967392
274,2025-04-06,583.3839238668182,False,-583.3839238668182,9262.758251100573
275,2025-04-06,548.8184263777092,True,498.9258421615538,9761.684093262127
276,2025-04-06,578.3797825257814,True,525.7998022961649,10287.483895558293
277,2025-04-06,609.5334208118292,True,554.1212916471173,10841.60518720541
278,2025-04-06,642.3651073419209,True,583.9682794017463,11425.573466607157
279,2025-04-06,676.9652278964744,False,-676.9652278964744,10748.608238710682
280,2025-04-08,636.8550381436082,True,578.9591255850984,11327.56736429578
281,2025-04-08,671.1583663345253,True,610.143969395023,11937.711333690804
282,2025-04-09,707.3093965211805,True,643.0085422919823,12580.719875982786
283,2025-04-09,745.4076526519805,True,677.6433205927095,13258.363196575496
284,2025-04-09,785.5580193970985,True,714.1436539973623,13972.506850572858
285,2025-04-09,827.8710308964422,True,752.6100280876748,14725.116878660532
