Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Malik Monk,24.7,SAC,Wing,1707,70,-2.2,85,-4.5,5,+4.9%,14,-1.5%,15,+3.5,3,+4.4,80,-11.0
Dennis Smith Jr.,24.9,CHA,Combo,1357,99,-10.7,99,-12.1,67,-0.9%,48,-0.0%,84,-3.2,64,-0.7,81,-11.6
Maxi Kleber,30.8,DAL,Big,923,57,-0.7,77,-3.2,71,-1.3%,30,-0.7%,25,+2.5,66,-0.9,7,+20.2
Bogdan Bogdanovic,30.2,ATL,Wing,1503,23,+3.1,39,+0.7,36,+1.2%,75,+0.9%,64,-1.1,66,-0.9,49,+0.4
De'Aaron Fox,24.9,SAC,Point,2431,19,+3.7,12,+4.6,67,-0.9%,76,+0.9%,74,-2.2,72,-1.3,64,-3.3
Derrick White,28.3,BOS,Combo,2289,94,-6.7,90,-5.6,62,-0.5%,60,+0.4%,30,+2.1,40,+0.5,22,+10.0
Ryan Arcidiacono,28.6,POR,Point,127,100,-13.9,100,-22.3,100,-6.2%,3,-3.2%,99,-7.7,98,-4.8,77,-8.5
Lauri Markkanen,25.4,UTA,Forward,2270,87,-4.6,79,-3.5,49,+0.4%,77,+1.0%,60,-0.8,54,-0.1,65,-3.6
Zach Collins,25.0,SAS,Big,1434,77,-3.0,93,-6.7,23,+2.3%,19,-1.3%,41,+0.9,9,+2.9,88,-14.8
Davon Reed,27.4,DEN,Wing,235,19,+3.6,21,+3.6,79,-2.0%,56,+0.2%,97,-6.5,99,-5.2,71,-6.6
Frank Ntilikina,24.3,DAL,Wing,541,86,-4.5,57,-0.8,72,-1.4%,90,+1.8%,74,-2.2,70,-1.1,66,-4.0
Luke Kornet,27.3,BOS,Big,698,56,-0.6,85,-4.6,63,-0.6%,9,-1.9%,48,+0.4,52,-0.0,45,+2.4
Jarrett Allen,24.5,CLE,Big,2212,67,-1.9,46,+0.2,95,-4.6%,74,+0.9%,74,-2.2,89,-2.5,40,+3.4
Markelle Fultz,24.4,ORL,Combo,1777,34,+1.8,13,+4.6,75,-1.6%,80,+1.1%,12,+4.0,35,+0.9,10,+16.3
Furkan Korkmaz,25.3,PHI,Wing,280,91,-5.8,95,-7.8,17,+2.8%,9,-2.0%,19,+3.2,9,+3.0,59,-2.3
Cedi Osman,27.6,CLE,Forward,1492,56,-0.5,72,-2.5,8,+4.5%,39,-0.4%,61,-0.8,6,+3.4,97,-25.4
Luke Kennard,26.4,LAC,Wing,720,95,-7.3,92,-6.4,57,-0.2%,88,+1.5%,73,-2.1,62,-0.6,76,-8.1
Luke Kennard,26.4,MEM,Combo,566,6,+6.6,29,+2.3,4,+5.3%,59,+0.3%,13,+3.8,1,+6.0,89,-16.4
Edmond Sumner,26.8,BKN,Combo,673,58,-0.8,67,-1.9,82,-2.4%,32,-0.6%,58,-0.5,59,-0.4,49,+0.3
