Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Gabe Vincent,24.4,MIA,Combo,634,27,-2.1%,36,-1.5%,8,-6.6%,81,+4.5%,23,-2.7%,22,-5.2%,35,-1.2%,26,-2.2%
Paul Watson,25.8,TOR,Forward,264,44,-0.7%,14,-4.3%,43,-0.7%,5,-9.8%,15,-3.8%,71,+3.0%,54,+0.2%,64,+0.8%
Anthony Edwards,19.2,MIN,Wing,2244,83,+2.2%,94,+5.9%,67,+1.7%,13,-6.6%,39,-0.9%,28,-4.1%,61,+0.7%,47,-0.5%
James Wiseman,19.6,GSW,Big,768,10,-3.9%,69,+1.9%,31,-2.1%,33,-2.6%,27,-2.1%,37,-2.1%,11,-4.6%,12,-4.0%
LaMelo Ball,19.2,CHA,Point,1454,55,+0.1%,30,-2.1%,52,+0.3%,78,+4.1%,67,+1.5%,22,-5.4%,70,+1.3%,51,-0.2%
Patrick Williams,19.2,CHI,Forward,1956,23,-2.4%,15,-4.0%,24,-3.1%,18,-5.5%,14,-4.0%,13,-7.6%,87,+3.3%,60,+0.4%
Isaac Okoro,19.8,CLE,Wing,2139,74,+1.4%,22,-2.7%,77,+3.0%,16,-5.8%,61,+1.0%,95,+9.4%,77,+2.0%,90,+3.6%
Onyeka Okongwu,19.9,ATL,Big,514,25,-2.2%,71,+2.2%,27,-2.5%,43,-1.3%,28,-2.0%,38,-2.0%,36,-1.2%,35,-1.4%
Killian Hayes,19.3,DET,Point,651,37,-1.3%,45,-0.6%,65,+1.6%,40,-1.7%,55,+0.5%,16,-6.4%,28,-1.7%,19,-2.9%
Obi Toppin,22.7,NYK,Forward,663,47,-0.4%,56,+0.5%,47,-0.2%,53,+0.1%,46,-0.2%,33,-2.6%,33,-1.4%,27,-2.0%
Deni Avdija,19.8,WAS,Forward,1224,53,-0.1%,52,+0.2%,72,+2.4%,34,-2.4%,58,+0.7%,14,-7.3%,82,+2.5%,54,+0.0%
Devin Vassell,20.2,SAS,Wing,968,58,+0.4%,50,-0.1%,24,-3.1%,62,+1.4%,35,-1.1%,61,+1.7%,78,+2.1%,80,+2.1%
Tyrese Haliburton,20.7,SAC,Combo,1734,50,-0.2%,81,+3.3%,42,-0.8%,69,+2.5%,45,-0.3%,41,-1.1%,43,-0.7%,45,-0.7%
Kira Lewis Jr.,19.6,NOP,Point,817,13,-3.4%,15,-3.9%,34,-1.7%,3,-11.4%,10,-4.9%,34,-2.6%,22,-2.5%,23,-2.5%
Aaron Nesmith,21.0,BOS,Wing,580,59,+0.5%,67,+1.8%,64,+1.5%,75,+3.6%,76,+2.2%,23,-5.0%,48,-0.3%,38,-1.2%
Cole Anthony,20.5,ORL,Point,1229,46,-0.4%,6,-6.6%,52,+0.2%,78,+4.1%,70,+1.7%,50,+0.2%,69,+1.3%,67,+1.1%
Isaiah Stewart,19.4,DET,Big,1410,32,-1.7%,11,-5.0%,73,+2.5%,70,+2.6%,78,+2.3%,28,-3.9%,66,+1.0%,52,-0.2%
Aleksej Pokusevski,18.9,OKC,Forward,1023,43,-0.8%,33,-1.8%,33,-1.8%,72,+2.9%,42,-0.5%,62,+1.8%,55,+0.2%,61,+0.5%
Josh Green,20.0,DAL,Wing,354,39,-1.1%,84,+3.6%,23,-3.1%,95,+8.9%,68,+1.5%,23,-4.9%,10,-5.1%,9,-5.1%
