Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
JaMychal Green,28.4,LAC,Big,138,92,+19.9,+35,98,+20.3,98,+10.8%,66,-0.6%,59,+1.2%,8,-9.6,52,+0.4,43,+1.7%,3,-6.2%,90,-6.1%,45,-0.1
James Harden,29.2,HOU,Combo,423,87,+17.0,+41,96,+17.5,97,+9.9%,26,+1.8%,29,-2.7%,95,+8.6,50,+0.5,17,+6.4%,72,+1.3%,86,-5.4%,78,-4.6
Maurice Harkless,25.5,POR,Forward,387,33,-7.6,-19,31,-4.2,32,-1.5%,36,+1.2%,83,+4.9%,33,-2.8,39,+3.4,3,+9.7%,95,+4.1%,98,-10.7%,69,-2.6
Montrezl Harrell,24.8,LAC,Big,157,3,-32.8,-56,20,-7.1,18,-4.4%,90,-3.1%,15,-5.9%,83,+4.8,2,+25.7,22,+5.5%,20,-2.2%,2,+14.3%,23,+3.6
Gary Harris,24.1,DEN,Wing,517,84,+16.0,+36,57,+2.9,48,+0.9%,34,+1.3%,28,-3.0%,83,+4.7,92,-13.0,88,-5.7%,64,+1.0%,35,+2.5%,39,+0.7
Joe Harris,27.2,BKN,Wing,147,4,-32.1,-52,5,-18.3,3,-9.7%,2,+5.4%,73,+3.1%,79,+4.4,15,+13.8,30,+4.1%,57,+0.4%,20,+5.4%,42,+0.6
Tobias Harris,26.3,PHI,Forward,443,50,-1.1,-2,27,-5.1,81,+5.7%,19,+2.4%,28,-3.0%,19,-6.4,73,-4.0,43,+2.0%,89,+2.8%,77,-3.4%,94,-10.9
Gordon Hayward,28.6,BOS,Wing,264,53,-0.5,-1,59,+4.5,24,-2.8%,72,-1.2%,92,+6.1%,93,+7.8,31,+5.0,51,+0.5%,22,-2.0%,8,+8.2%,53,-1.2
George Hill,32.5,MIL,Combo,386,68,+4.2,+7,76,+8.1,55,+1.6%,78,-1.7%,44,-0.6%,81,+4.6,35,+3.8,49,+1.1%,76,+1.6%,41,+2.0%,8,+6.3
Rodney Hood,26.0,POR,Wing,370,60,+1.4,+4,44,-0.4,42,-0.3%,56,+0.0%,23,-4.2%,68,+3.1,62,-1.8,95,-8.1%,28,-1.7%,3,+11.8%,18,+5.0
Al Horford,32.4,BOS,Big,309,94,+24.3,+49,93,+16.4,82,+5.7%,32,+1.4%,88,+5.5%,96,+9.9,86,-7.8,57,-0.4%,83,+2.1%,73,-3.1%,82,-5.2
Danuel House,25.4,HOU,Forward,134,23,-9.9,-26,9,-12.4,19,-3.8%,67,-0.8%,6,-9.9%,47,-0.7,64,-2.5,84,-4.2%,81,+2.0%,54,-0.3%,2,+11.6
Serge Ibaka,29.1,TOR,Big,490,52,-0.6,-1,40,-1.9,39,-0.5%,83,-2.4%,30,-2.7%,57,+0.6,59,-1.3,88,-5.8%,6,-4.1%,63,-1.1%,17,+5.0
Andre Iguodala,34.8,GSW,Wing,629,72,+5.3,+13,68,+5.7,60,+2.8%,88,-2.7%,23,-4.0%,66,+2.9,51,+0.4,47,+1.3%,75,+1.6%,52,+0.4%,19,+4.6
Ersan Ilyasova,31.5,MIL,Big,249,82,+13.4,+21,89,+12.4,86,+7.1%,68,-0.9%,39,-1.6%,94,+8.3,57,-1.0,61,-0.6%,44,-0.2%,63,-1.2%,56,-1.7
Joe Ingles,31.1,UTA,Wing,150,31,-7.9,-18,45,-0.3,89,+7.8%,23,+2.2%,3,-11.5%,43,-0.9,24,+7.7,4,+9.2%,98,+5.8%,22,+5.2%,80,-5.1
Kyrie Irving,26.6,BOS,Point,329,49,-1.4,-4,92,+14.2,78,+5.5%,92,-3.7%,8,-7.7%,69,+3.1,13,+15.5,12,+7.3%,33,-1.2%,71,-2.6%,24,+3.5
Reggie Jackson,28.5,DET,Point,107,61,+1.5,+2,98,+20.2,99,+12.5%,54,+0.2%,81,+4.7%,9,-8.9,8,+18.6,8,+8.7%,83,+2.3%,8,+7.5%,76,-3.9
