Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Ryan Broekhoff,28.2,DAL,Forward,391,87,-2.3%,5,+3.9%,87,-1.8%,76,-0.9%,89,-2.8%,56,-0.2%,72,-1.0%,71,-1.2%
Isaiah Hartenstein,20.5,HOU,Big,185,71,-1.1%,65,-0.8%,53,-0.2%,25,+0.8%,37,+0.6%,84,-1.0%,25,+1.1%,44,+0.1%
Jevon Carter,23.1,MEM,Combo,533,43,+0.3%,83,-2.3%,37,+0.5%,38,+0.4%,34,+0.8%,27,+0.6%,29,+0.9%,23,+1.4%
Hamidou Diallo,20.3,OKC,Wing,484,9,+2.6%,38,+0.8%,15,+1.7%,79,-1.1%,37,+0.6%,93,-1.7%,40,+0.4%,74,-1.4%
Jonah Bolden,22.8,PHI,Big,567,24,+1.3%,6,+3.8%,79,-1.4%,96,-2.4%,94,-3.8%,72,-0.6%,35,+0.5%,50,-0.0%
Sviatoslav Mykhailiuk,21.4,LAL,Forward,347,65,-0.8%,20,+1.8%,78,-1.2%,63,-0.4%,77,-1.7%,46,+0.0%,56,-0.2%,53,-0.2%
Bruce Brown,22.2,DET,Wing,1406,89,-2.7%,13,+2.6%,82,-1.6%,78,-1.1%,88,-2.6%,32,+0.4%,60,-0.4%,47,+0.0%
Khyri Thomas,22.5,DET,Wing,128,94,-3.3%,34,+1.0%,70,-0.8%,48,+0.0%,65,-0.8%,0,+4.8%,99,-5.0%,54,-0.2%
Mitchell Robinson,20.6,NYK,Big,1306,92,-3.0%,15,+2.2%,83,-1.6%,86,-1.6%,91,-3.2%,42,+0.1%,31,+0.8%,30,+0.9%
De'Anthony Melton,20.4,PHX,Combo,965,26,+1.2%,87,-2.7%,11,+2.0%,23,+0.9%,9,+2.8%,31,+0.5%,66,-0.6%,53,-0.2%
Shake Milton,22.1,PHI,Wing,205,46,+0.1%,26,+1.5%,15,+1.7%,96,-2.4%,64,-0.7%,86,-1.1%,42,+0.3%,64,-0.8%
Deonte Burton,24.8,OKC,Forward,220,99,-6.8%,2,+5.2%,88,-1.9%,83,-1.4%,92,-3.3%,55,-0.1%,84,-1.8%,83,-1.9%
Theo Pinson,23.0,BKN,Wing,170,97,-4.6%,99,-5.9%,99,-4.5%,27,+0.8%,94,-3.7%,0,+3.7%,1,+5.9%,0,+9.7%
Yuta Watanabe,24.1,MEM,Forward,139,28,+1.0%,5,+3.9%,99,-4.6%,49,-0.0%,97,-4.6%,9,+1.3%,62,-0.5%,33,+0.8%
Duncan Robinson,24.5,MIA,Big,136,44,+0.2%,85,-2.5%,74,-1.0%,100,-6.0%,99,-6.9%,16,+0.9%,0,+8.5%,0,+9.4%
Allonzo Trier,22.8,NYK,Wing,1407,86,-2.3%,7,+3.4%,57,-0.3%,32,+0.6%,46,+0.2%,93,-1.8%,85,-1.8%,96,-3.6%
Jaylen Adams,22.5,ATL,Point,395,41,+0.4%,93,-3.7%,12,+1.9%,19,+1.1%,8,+3.0%,39,+0.2%,38,+0.4%,35,+0.7%
Gary Clark,24.0,HOU,Forward,522,55,-0.2%,2,+5.0%,83,-1.6%,28,+0.7%,66,-0.9%,91,-1.5%,92,-2.6%,97,-4.1%
Kenrich Williams,23.9,NOP,Wing,1057,14,+2.2%,16,+2.2%,59,-0.4%,88,-1.7%,82,-2.1%,48,+0.0%,54,-0.2%,52,-0.1%
Rawle Alkins,21.0,CHI,Forward,108,21,+1.5%,64,-0.7%,39,+0.4%,57,-0.2%,47,+0.2%,99,-2.7%,4,+3.2%,38,+0.5%
Johnathan Williams,23.4,LAL,Big,346,72,-1.1%,20,+1.9%,73,-0.9%,75,-0.9%,80,-1.9%,82,-0.9%,29,+0.9%,49,-0.0%
Jaron Blossomgame,25.1,CLE,Big,417,88,-2.5%,2,+4.9%,42,+0.3%,93,-2.0%,79,-1.7%,70,-0.5%,93,-2.7%,94,-3.2%
Brandon Sampson,21.5,CHI,Wing,191,14,+2.2%,6,+3.7%,89,-2.0%,7,+2.2%,45,+0.2%,98,-2.6%,78,-1.3%,97,-3.9%
Deng Adel,21.7,CLE,Forward,187,93,-3.1%,25,+1.5%,45,+0.1%,78,-1.1%,66,-0.9%,67,-0.4%,54,-0.2%,60,-0.6%
Julian Washburn,26.9,MEM,Wing,246,78,-1.5%,13,+2.5%,99,-4.6%,31,+0.6%,95,-4.0%,74,-0.6%,14,+2.1%,22,+1.5%
Cameron Reynolds,23.7,MIN,Wing,235,58,-0.4%,99,-6.4%,58,-0.4%,34,+0.5%,48,+0.1%,5,+1.7%,1,+4.5%,1,+6.3%
Dairis Bertans,29.1,NOP,Wing,150,68,-0.9%,97,-5.1%,85,-1.7%,0,+5.7%,4,+4.0%,96,-2.1%,5,+3.2%,28,+1.1%
Jemerrio Jones,23.6,LAL,Wing,133,100,-11.2%,33,+1.1%,91,-2.2%,14,+1.5%,63,-0.7%,94,-1.8%,21,+1.4%,57,-0.4%
