Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Hamidou Diallo,21.3,OKC,Wing,837,49,0.5%,76,1.7%,18,4.4%,93,5.1%,72,12.0%,74,2.0%,85,20.8%
Gorgui Dieng,29.8,MIN,Big,769,80,2.8%,93,2.1%,40,4.5%,64,8.9%,83,21.8%,0,0.0%,79,39.5%
Gorgui Dieng,29.8,MEM,Big,297,82,2.8%,89,1.8%,40,4.4%,26,4.9%,81,21.5%,89,8.7%,59,31.8%
Spencer Dinwiddie,26.6,BKN,Combo,1993,56,0.5%,6,0.9%,48,3.2%,27,1.6%,33,9.0%,0,0.0%,0,0.0%
Luka Doncic,20.7,DAL,Wing,2047,21,0.3%,44,1.3%,85,2.5%,84,3.9%,100,22.5%,55,0.7%,90,23.5%
Luguentz Dort,20.5,OKC,Wing,799,14,0.3%,84,1.8%,5,5.2%,65,2.7%,10,6.8%,96,8.1%,50,6.9%
Damyean Dotson,25.5,NYK,Wing,771,15,0.3%,40,1.2%,94,2.2%,12,0.9%,43,9.9%,0,0.0%,20,1.6%
Sekou Doumbouya,18.9,DET,Forward,724,28,0.5%,47,1.2%,19,4.2%,24,2.6%,63,14.0%,76,2.9%,29,12.1%
PJ Dozier,23.0,DEN,Combo,385,82,0.8%,65,1.6%,8,4.3%,55,2.2%,61,10.7%,0,0.0%,98,22.7%
Goran Dragic,33.5,MIA,Point,1645,33,0.3%,18,1.0%,65,2.7%,45,1.9%,45,9.3%,0,0.0%,57,4.1%
Andre Drummond,26.2,CLE,Big,220,73,2.5%,96,2.3%,67,3.6%,89,12.0%,99,29.2%,0,0.0%,99,66.7%
Andre Drummond,26.2,DET,Big,1651,76,2.6%,99,2.5%,61,3.7%,96,13.8%,100,32.5%,48,2.0%,100,68.1%
Jared Dudley,34.3,LAL,Big,292,5,0.4%,85,1.7%,13,5.8%,0,0.7%,7,10.9%,0,0.0%,34,23.8%
Kris Dunn,25.6,CHI,Point,1259,84,0.8%,98,3.4%,2,5.1%,35,1.8%,90,13.9%,0,0.0%,78,7.4%
Carsen Edwards,21.6,BOS,Combo,284,33,0.4%,35,1.2%,24,3.8%,41,1.9%,71,11.8%,0,0.0%,52,4.8%
Wayne Ellington,31.9,NYK,Combo,528,42,0.4%,11,0.9%,55,3.0%,3,0.8%,58,10.6%,0,0.0%,61,5.7%
Joel Embiid,25.6,PHI,Big,1505,67,2.3%,64,1.3%,48,4.1%,72,9.6%,95,27.5%,59,2.9%,77,38.5%
James Ennis,29.3,PHI,Wing,758,85,1.0%,36,1.2%,21,4.2%,99,6.5%,84,13.3%,0,0.0%,64,9.6%
James Ennis,29.3,ORL,Forward,484,53,0.8%,33,1.1%,28,4.0%,79,4.8%,69,14.8%,0,0.0%,72,25.0%
Drew Eubanks,22.7,SAS,Big,247,86,3.2%,14,0.7%,36,4.6%,70,9.4%,62,19.5%,0,0.0%,50,29.4%
Jacob Evans,22.4,GSW,Wing,385,94,1.5%,26,1.0%,19,4.3%,53,2.1%,29,9.1%,0,0.0%,0,0.0%
Dante Exum,24.3,CLE,Wing,385,73,0.8%,43,1.2%,56,3.0%,58,2.4%,66,11.5%,0,0.0%,63,9.5%
Derrick Favors,28.3,NOP,Big,1241,55,1.8%,38,1.0%,81,3.1%,90,12.6%,89,24.5%,69,4.2%,65,33.9%
Cristiano Felicio,27.3,CHI,Big,380,4,0.3%,53,1.1%,73,3.4%,98,14.9%,20,13.9%,85,7.7%,13,13.0%
Terrance Ferguson,21.5,OKC,Wing,1224,63,0.7%,21,0.9%,3,5.4%,52,2.1%,0,4.2%,0,0.0%,25,2.6%
Bruno Fernando,21.2,ATL,Big,666,36,1.3%,52,1.1%,11,6.0%,69,9.3%,45,17.0%,0,0.0%,69,35.3%
Yogi Ferrell,26.5,SAC,Point,460,51,0.5%,51,1.5%,51,3.0%,20,1.3%,37,8.8%,0,0.0%,69,4.8%
Dorian Finney-Smith,26.5,DAL,Forward,2116,57,0.9%,25,0.9%,52,3.4%,96,6.9%,31,11.3%,79,3.1%,32,13.1%
Bryn Forbes,26.3,SAS,Wing,1570,0,0.0%,22,0.9%,59,3.0%,10,0.8%,14,7.4%,0,0.0%,23,2.2%
Evan Fournier,27.0,ORL,Wing,2075,24,0.4%,64,1.5%,58,3.0%,9,0.8%,15,7.5%,58,1.0%,57,8.0%
De'Aaron Fox,21.9,SAC,Point,1631,82,0.7%,67,1.9%,29,3.4%,51,2.1%,55,10.3%,92,2.4%,65,4.7%
Tim Frazier,29.0,DET,Point,322,55,0.5%,71,1.9%,4,5.0%,80,2.8%,6,7.0%,0,0.0%,0,0.0%
Markelle Fultz,21.4,ORL,Combo,1984,24,0.3%,86,2.0%,68,2.8%,47,2.0%,56,10.5%,0,0.0%,32,2.4%
Wenyen Gabriel,22.6,POR,Big,138,44,1.5%,80,1.5%,1,8.8%,74,9.9%,48,17.5%,0,0.0%,17,16.7%
Daniel Gafford,21.1,CHI,Big,588,99,5.1%,35,1.0%,7,6.5%,62,8.8%,2,9.9%,0,0.0%,2,3.2%
Danilo Gallinari,31.2,OKC,Big,1833,1,0.1%,42,1.0%,100,1.5%,5,2.1%,39,16.4%,0,0.0%,1,2.6%
Langston Galloway,27.9,DET,Wing,1684,19,0.3%,41,1.2%,87,2.4%,44,1.9%,12,7.0%,56,0.9%,31,3.8%
Darius Garland,19.8,CLE,Combo,1781,3,0.1%,17,1.0%,98,2.0%,20,1.4%,0,4.8%,0,0.0%,20,1.2%
Marc Gasol,34.8,TOR,Big,1157,51,1.7%,64,1.3%,45,4.3%,9,2.8%,54,18.3%,0,0.0%,51,29.5%
Rudy Gay,33.2,SAS,Big,1455,30,1.1%,43,1.0%,88,2.8%,20,4.0%,58,18.9%,73,4.6%,64,33.8%
Paul George,29.5,LAC,Wing,1412,65,0.7%,90,2.0%,68,2.8%,34,1.8%,96,16.5%,0,0.0%,68,10.1%
Taj Gibson,34.4,NYK,Big,1020,47,1.5%,55,1.1%,43,4.3%,75,9.9%,32,15.3%,94,9.5%,39,25.5%
Harry Giles,21.5,SAC,Big,638,38,1.3%,75,1.4%,3,7.1%,43,6.8%,83,22.1%,0,0.0%,95,53.7%
Shai Gilgeous-Alexander,21.3,OKC,Wing,2411,84,1.0%,57,1.4%,98,1.9%,48,2.0%,87,13.8%,81,2.8%,100,37.9%
Rudy Gobert,27.3,UTA,Big,2331,84,2.9%,33,1.0%,70,3.4%,82,11.1%,95,27.4%,49,2.3%,74,37.1%
Brandon Goodwin,24.1,ATL,Combo,392,39,0.4%,38,1.2%,9,4.3%,33,1.7%,94,14.4%,0,0.0%,80,9.7%
Aaron Gordon,24.1,ORL,Forward,2017,69,1.0%,35,1.1%,92,2.3%,88,5.3%,92,17.8%,49,1.0%,88,29.6%
Eric Gordon,30.9,HOU,Wing,1016,52,0.6%,23,0.9%,74,2.6%,8,0.8%,5,5.7%,64,1.3%,38,5.0%
Devonte' Graham,24.7,CHA,Point,2206,39,0.4%,31,1.2%,82,2.1%,41,1.9%,25,8.0%,69,0.8%,59,4.3%
Treveon Graham,26.0,ATL,Forward,246,49,0.8%,31,1.0%,3,5.5%,100,9.0%,25,10.9%,0,0.0%,33,13.3%
Treveon Graham,26.0,MIN,Forward,640,3,0.2%,36,1.1%,24,4.2%,76,4.4%,15,9.8%,0,0.0%,41,14.3%
Jerami Grant,25.6,DEN,Big,1860,46,1.5%,62,1.2%,82,3.1%,13,3.2%,4,10.2%,38,1.1%,6,8.8%
Danny Green,32.4,LAL,Wing,1684,82,0.9%,92,2.1%,50,3.2%,77,3.2%,44,9.9%,69,1.7%,70,11.2%
Draymond Green,29.7,GSW,Big,1221,40,1.4%,93,2.1%,59,3.8%,2,1.9%,54,18.3%,0,0.0%,82,41.1%
JaMychal Green,29.4,LAC,Big,1248,22,0.9%,32,0.9%,29,5.1%,33,5.5%,67,20.2%,82,7.1%,58,31.4%
Javonte Green,26.3,BOS,Wing,374,48,0.5%,97,2.5%,23,4.1%,96,5.5%,77,12.2%,0,0.0%,81,17.9%
Jeff Green,33.2,HOU,Forward,390,77,1.1%,72,1.5%,17,4.4%,31,2.7%,13,9.8%,0,0.0%,36,13.8%
Jeff Green,33.2,UTA,Forward,545,59,0.9%,28,1.0%,87,2.6%,27,2.7%,35,11.5%,0,0.0%,17,10.0%
Blake Griffin,30.6,DET,Big,512,11,0.7%,11,0.6%,96,2.2%,15,3.4%,12,12.5%,0,0.0%,20,18.2%
Marko Guduric,24.7,MEM,Wing,397,61,0.6%,24,1.0%,47,3.2%,68,2.8%,69,11.9%,95,6.7%,0,0.0%
Rui Hachimura,21.7,WAS,Big,1437,4,0.3%,47,1.1%,86,2.8%,28,5.2%,29,14.7%,73,4.7%,61,32.4%
Tim Hardaway Jr.,27.6,DAL,Wing,2090,3,0.1%,17,0.9%,88,2.4%,18,1.2%,30,9.2%,0,0.0%,42,5.6%
James Harden,30.2,HOU,Point,2482,100,1.2%,80,2.1%,53,3.0%,76,2.7%,88,13.6%,84,1.4%,98,18.6%
Maurice Harkless,26.5,NYK,Wing,285,44,0.5%,53,1.3%,29,3.8%,67,2.7%,47,10.2%,90,4.0%,98,28.6%
Maurice Harkless,26.5,LAC,Forward,1131,84,1.3%,79,1.8%,25,4.1%,73,4.2%,40,11.8%,0,0.0%,39,14.1%
Montrezl Harrell,25.8,LAC,Big,1724,58,1.9%,25,0.9%,83,3.0%,73,9.7%,20,13.9%,0,0.0%,36,24.2%
Gary Harris,25.1,DEN,Wing,1779,32,0.4%,87,1.9%,75,2.6%,28,1.5%,21,8.0%,0,0.0%,27,3.6%
Joe Harris,28.2,BKN,Wing,2122,26,0.4%,11,0.8%,70,2.7%,71,2.9%,52,10.5%,67,1.5%,43,5.7%
Tobias Harris,27.3,PHI,Forward,2468,52,0.8%,21,0.9%,85,2.6%,37,2.9%,88,16.8%,45,0.7%,71,24.4%
Shaquille Harrison,26.1,CHI,Wing,441,99,2.1%,99,2.8%,13,4.6%,91,4.6%,79,12.9%,0,0.0%,73,12.0%
Josh Hart,24.7,NOP,Forward,1725,35,0.6%,71,1.5%,40,3.6%,53,3.2%,97,19.8%,72,2.6%,55,19.8%
Isaiah Hartenstein,21.5,HOU,Big,228,57,1.9%,79,1.5%,7,6.6%,88,11.7%,73,20.6%,81,6.7%,11,12.5%
Jaxson Hayes,19.4,NOP,Big,1029,72,2.5%,41,1.0%,18,5.5%,68,9.3%,13,13.0%,0,0.0%,44,27.4%
Gordon Hayward,29.6,BOS,Forward,1737,39,0.6%,27,0.9%,97,1.9%,59,3.3%,76,15.4%,0,0.0%,75,26.4%
John Henson,28.8,DET,Big,188,82,2.8%,91,1.9%,24,5.3%,57,8.2%,57,18.9%,0,0.0%,24,20.0%
John Henson,28.8,CLE,Big,405,92,4.0%,83,1.6%,19,5.5%,52,7.9%,59,19.1%,64,3.7%,46,28.0%
Juan Hernangomez,24.1,MIN,Big,407,6,0.5%,76,1.4%,77,3.2%,19,3.8%,64,19.7%,82,7.1%,75,37.5%
Juan Hernangomez,24.1,DEN,Forward,370,32,0.6%,3,0.5%,77,2.7%,81,5.1%,91,17.1%,0,0.0%,57,20.8%
Willy Hernangomez,25.4,CHA,Big,320,23,1.0%,63,1.2%,74,3.3%,84,11.3%,88,23.6%,71,4.5%,70,35.7%
Tyler Herro,19.8,MIA,Combo,1460,26,0.3%,21,1.0%,92,2.1%,8,1.2%,83,13.1%,0,0.0%,91,14.4%
Mario Hezonja,24.7,POR,Forward,803,27,0.5%,77,1.7%,8,5.2%,51,3.2%,72,15.1%,95,9.1%,92,33.3%
Buddy Hield,26.9,SAC,Wing,2201,30,0.4%,48,1.3%,60,3.0%,63,2.6%,78,12.9%,0,0.0%,48,6.5%
George Hill,33.5,MIL,Combo,1264,9,0.2%,64,1.6%,74,2.6%,88,4.1%,36,9.1%,77,1.0%,0,0.0%
Solomon Hill,28.6,MIA,Forward,183,92,1.4%,99,2.9%,84,2.6%,35,2.8%,3,8.2%,0,0.0%,17,10.0%
Solomon Hill,28.6,MEM,Forward,874,16,0.4%,68,1.5%,63,3.1%,39,2.9%,47,12.5%,0,0.0%,47,15.1%
Aaron Holiday,23.1,IND,Point,1552,57,0.5%,53,1.5%,49,3.0%,22,1.4%,20,7.5%,0,0.0%,84,10.5%
Jrue Holiday,29.4,NOP,Combo,2115,92,1.1%,85,1.9%,76,2.6%,82,3.6%,42,9.5%,71,0.9%,82,9.8%
Justin Holiday,30.6,IND,Wing,1805,90,1.2%,93,2.1%,48,3.2%,36,1.8%,50,10.4%,0,0.0%,80,16.9%
Rondae Hollis-Jefferson,24.8,TOR,Big,1092,27,1.1%,86,1.7%,50,4.1%,67,9.3%,27,14.6%,43,1.6%,27,20.9%
Richaun Holmes,26.0,SAC,Big,1229,68,2.4%,77,1.5%,21,5.4%,77,10.5%,57,18.7%,46,1.7%,52,29.5%
Rodney Hood,27.0,POR,Forward,618,13,0.3%,39,1.2%,65,3.0%,3,1.4%,9,9.5%,89,4.8%,8,5.4%
Al Horford,33.4,PHI,Big,2022,49,1.5%,57,1.2%,91,2.8%,30,5.3%,39,16.6%,37,1.0%,39,25.8%
Danuel House,26.4,HOU,Forward,1875,55,0.9%,60,1.5%,75,2.8%,25,2.6%,19,10.4%,72,2.6%,5,3.9%
Dwight Howard,33.9,LAL,Big,1266,87,3.2%,45,1.1%,10,6.2%,96,13.6%,89,24.1%,70,4.2%,99,60.8%
Kevin Huerter,21.2,ATL,Wing,1755,69,0.7%,37,1.2%,51,3.2%,46,2.0%,62,11.1%,65,1.4%,39,5.2%
DeAndre Hunter,21.9,ATL,Forward,2007,25,0.4%,24,0.9%,48,3.5%,16,2.1%,39,11.7%,56,1.1%,28,11.6%
Chandler Hutchison,23.5,CHI,Forward,517,41,0.7%,91,2.0%,45,3.5%,64,3.4%,87,16.6%,0,0.0%,91,32.4%
Serge Ibaka,30.1,TOR,Big,1476,48,1.5%,20,0.8%,67,3.6%,52,7.7%,68,20.2%,45,1.6%,71,35.9%
Andre Iguodala,35.8,MIA,Forward,412,100,2.3%,64,1.5%,57,3.3%,77,4.4%,59,13.7%,0,0.0%,27,11.5%
Ersan Ilyasova,32.5,MIL,Big,970,16,0.8%,26,0.9%,57,3.8%,39,6.0%,70,20.4%,76,5.7%,89,48.1%
Joe Ingles,32.1,UTA,Forward,2131,11,0.3%,52,1.3%,79,2.7%,0,1.2%,36,11.6%,71,2.5%,7,4.1%
Brandon Ingram,22.2,NOP,Forward,2102,56,0.9%,43,1.2%,72,2.8%,20,2.4%,60,13.7%,47,0.8%,80,27.4%
Kyrie Irving,27.6,BKN,Point,657,80,0.7%,55,1.6%,41,3.2%,88,3.4%,78,12.4%,0,0.0%,0,0.0%
Jonathan Isaac,22.1,ORL,Big,973,94,4.1%,98,2.4%,71,3.4%,35,5.8%,43,16.7%,67,3.8%,89,45.9%
Wes Iwundu,24.9,ORL,Forward,911,43,0.7%,44,1.2%,44,3.5%,21,2.5%,20,10.4%,0,0.0%,9,7.3%
Frank Jackson,21.5,NOP,Point,734,25,0.3%,12,0.9%,31,3.4%,82,2.9%,16,7.4%,0,0.0%,43,2.2%
Jaren Jackson,20.1,MEM,Big,1620,80,2.8%,39,1.0%,28,5.1%,16,3.4%,10,12.0%,0,0.0%,11,12.1%
Josh Jackson,22.7,MEM,Forward,365,80,1.2%,93,2.1%,32,4.0%,44,3.0%,55,13.3%,0,0.0%,16,9.5%
Justin Jackson,24.6,DAL,Forward,968,21,0.4%,5,0.6%,68,2.9%,32,2.7%,23,10.7%,0,0.0%,89,29.7%
Reggie Jackson,29.5,DET,Point,380,8,0.1%,10,0.9%,76,2.3%,86,3.0%,29,8.1%,0,0.0%,0,0.0%
Reggie Jackson,29.5,LAC,Combo,344,59,0.6%,2,0.6%,20,3.9%,39,1.9%,62,10.8%,0,0.0%,47,4.2%
